
0.0.0	0.63.*	山东省济南市
203.112.20	203.112.21	辽宁省本溪市
203.112.22	203.112.25	辽宁省本溪市明山区
203.112.26	203.112.67	辽宁省本溪市
203.112.68	203.112.69	辽宁省本溪市明山区
203.112.70	203.112.71	辽宁省本溪市
203.112.72	203.112.72	辽宁省本溪市明山区
203.112.73	203.112.73	辽宁省本溪市
203.112.74	203.112.75	辽宁省本溪市明山区
203.112.76	203.112.78	辽宁省本溪市
203.112.79	203.112.80	辽宁省本溪市明山区
203.112.81	203.113.3	辽宁省本溪市
203.113.4	203.113.4	辽宁省本溪市明山区
203.113.5	203.113.6	辽宁省本溪市
203.113.7	203.113.8	辽宁省本溪市明山区
203.113.9	203.113.13	辽宁省本溪市
203.113.14	203.113.14	辽宁省本溪市明山区
203.113.15	203.113.16	辽宁省本溪市
203.113.17	203.113.17	辽宁省本溪市明山区
203.113.18	203.113.19	辽宁省本溪市
203.113.20	203.113.20	辽宁省本溪市明山区
203.113.21	203.113.23	辽宁省本溪市
203.113.24	203.113.24	辽宁省本溪市明山区
203.113.25	203.113.28	辽宁省本溪市
203.113.29	203.113.29	辽宁省本溪市明山区
203.113.30	203.113.69	辽宁省本溪市
203.113.70	203.113.73	辽宁省本溪市明山区
203.113.74	203.114.3	辽宁省本溪市
203.114.4	203.114.4	辽宁省本溪市溪湖区
203.114.5	203.114.9	辽宁省本溪市
203.114.10	203.114.11	辽宁省本溪市溪湖区
203.114.12	203.114.13	辽宁省本溪市
203.114.14	203.114.14	辽宁省本溪市溪湖区
203.114.15	203.114.15	辽宁省本溪市
203.114.16	203.114.18	辽宁省本溪市溪湖区
203.114.19	203.114.21	辽宁省本溪市
203.114.22	203.114.23	辽宁省本溪市溪湖区
203.114.24	203.114.28	辽宁省本溪市
203.114.29	203.114.29	辽宁省本溪市溪湖区
203.114.30	203.114.33	辽宁省本溪市
203.114.34	203.114.34	辽宁省本溪市溪湖区
203.114.35	203.115.2	辽宁省本溪市
203.115.3	203.115.3	辽宁省本溪市平山区
203.115.4	203.115.5	辽宁省本溪市
203.115.6	203.115.6	辽宁省本溪市平山区
203.115.7	203.115.7	辽宁省本溪市
203.115.8	203.115.9	辽宁省本溪市平山区
203.115.10	203.115.11	辽宁省本溪市
203.115.12	203.115.12	辽宁省本溪市平山区
203.115.13	203.115.14	辽宁省本溪市
203.115.15	203.115.15	辽宁省本溪市平山区
203.115.16	203.115.66	辽宁省本溪市
203.115.67	203.115.68	辽宁省本溪市明山区
203.115.69	203.115.129	辽宁省本溪市
203.115.130	203.115.130	辽宁省本溪市溪湖区
203.115.131	203.115.131	辽宁省本溪市
203.115.132	203.115.133	辽宁省本溪市溪湖区
203.115.134	203.115.200	辽宁省本溪市
203.115.201	203.115.201	辽宁省本溪市南芬区
203.115.202	203.115.202	辽宁省本溪市
203.115.203	203.115.203	辽宁省本溪市南芬区
203.115.204	203.115.204	辽宁省本溪市
203.115.205	203.115.208	辽宁省本溪市南芬区
203.115.209	203.115.209	辽宁省本溪市
203.115.210	203.115.212	辽宁省本溪市南芬区
203.115.213	203.115.213	辽宁省本溪市
203.115.214	203.115.215	辽宁省本溪市南芬区
203.115.216	203.115.216	辽宁省本溪市
203.115.217	203.115.219	辽宁省本溪市南芬区
203.115.220	203.115.*	辽宁省本溪市
203.116.0	203.116.1	辽宁省
203.116.2	203.116.2	辽宁省本溪市平山区
203.116.3	203.116.5	辽宁省
203.116.6	203.116.6	辽宁省本溪市平山区
203.116.7	203.116.9	辽宁省
203.116.10	203.116.10	辽宁省本溪市平山区
203.116.11	203.117.1	辽宁省
203.117.2	203.117.2	辽宁省本溪市南芬区
203.117.3	203.117.29	辽宁省
203.117.30	203.117.30	辽宁省本溪市南芬区
203.117.31	203.118.37	辽宁省
203.118.38	203.118.38	辽宁省本溪市明山区
203.118.39	203.118.45	辽宁省
203.118.46	203.118.46	辽宁省本溪市明山区
203.118.47	203.119.1	辽宁省
203.119.2	203.119.2	辽宁省本溪市溪湖区
203.119.3	203.119.5	辽宁省
203.119.6	203.119.6	辽宁省本溪市溪湖区
203.119.7	203.119.17	辽宁省
203.119.18	203.119.18	辽宁省本溪市溪湖区
203.119.19	203.119.250	辽宁省
203.119.251	203.119.252	辽宁省本溪市溪湖区
203.119.253	203.119.*	辽宁省
203.120.0	203.135.*	辽宁省阜新市
203.136.0	203.140.1	辽宁省辽阳市
203.140.2	203.140.2	辽宁省辽阳市灯塔市
203.140.3	203.140.5	辽宁省辽阳市
203.140.6	203.140.6	辽宁省辽阳市灯塔市
203.140.7	203.140.9	辽宁省辽阳市
203.140.10	203.140.10	辽宁省辽阳市灯塔市
203.140.11	203.140.13	辽宁省辽阳市
203.140.14	203.140.14	辽宁省辽阳市灯塔市
203.140.15	203.140.21	辽宁省辽阳市
203.140.22	203.140.22	辽宁省辽阳市灯塔市
203.140.23	203.140.25	辽宁省辽阳市
203.140.26	203.140.26	辽宁省辽阳市灯塔市
203.140.27	203.140.29	辽宁省辽阳市
203.140.30	203.140.30	辽宁省辽阳市灯塔市
203.140.31	203.140.33	辽宁省辽阳市
203.140.34	203.140.34	辽宁省辽阳市灯塔市
203.140.35	203.140.49	辽宁省辽阳市
203.140.50	203.140.50	辽宁省辽阳市灯塔市
203.140.51	203.140.57	辽宁省辽阳市
203.140.58	203.140.58	辽宁省辽阳市灯塔市
203.140.59	203.140.60	辽宁省辽阳市
203.140.61	203.140.62	辽宁省辽阳市灯塔市
203.140.63	203.140.81	辽宁省辽阳市
203.140.82	203.140.82	辽宁省辽阳市灯塔市
203.140.83	203.140.85	辽宁省辽阳市
203.140.86	203.140.86	辽宁省辽阳市灯塔市
203.140.87	203.140.93	辽宁省辽阳市
203.140.94	203.140.94	辽宁省辽阳市灯塔市
203.140.95	203.140.97	辽宁省辽阳市
203.140.98	203.140.98	辽宁省辽阳市灯塔市
203.140.99	203.140.105	辽宁省辽阳市
203.140.106	203.140.106	辽宁省辽阳市灯塔市
203.140.107	203.140.125	辽宁省辽阳市
203.140.126	203.140.126	辽宁省辽阳市灯塔市
203.140.127	203.140.141	辽宁省辽阳市
203.140.142	203.140.142	辽宁省辽阳市灯塔市
203.140.143	203.145.51	辽宁省辽阳市
203.145.52	203.145.52	辽宁省辽阳市文圣区
203.145.53	203.145.57	辽宁省辽阳市
203.145.58	203.145.58	辽宁省辽阳市文圣区
203.145.59	203.145.98	辽宁省辽阳市
203.145.99	203.145.99	辽宁省辽阳市文圣区
203.145.100	203.145.138	辽宁省辽阳市
203.145.139	203.145.139	辽宁省辽阳市文圣区
203.145.140	203.145.140	辽宁省辽阳市
203.145.141	203.145.142	辽宁省辽阳市文圣区
203.145.143	203.145.171	辽宁省辽阳市
203.145.172	203.145.172	辽宁省辽阳市太子河区
203.145.173	203.145.173	辽宁省辽阳市
203.145.174	203.145.174	辽宁省辽阳市文圣区
203.145.175	203.145.184	辽宁省辽阳市
203.145.185	203.145.185	辽宁省辽阳市文圣区
203.145.186	203.151.*	辽宁省辽阳市
203.152.0	203.153.5	辽宁省铁岭市
203.153.6	203.153.6	辽宁省铁岭市调兵山市
203.153.7	203.153.21	辽宁省铁岭市
203.153.22	203.153.22	辽宁省铁岭市调兵山市
203.153.23	203.153.25	辽宁省铁岭市
203.153.26	203.153.26	辽宁省铁岭市调兵山市
203.153.27	203.153.33	辽宁省铁岭市
203.153.34	203.153.34	辽宁省铁岭市调兵山市
203.153.35	203.153.37	辽宁省铁岭市
203.153.38	203.153.38	辽宁省铁岭市调兵山市
203.153.39	203.153.41	辽宁省铁岭市
203.153.42	203.153.42	辽宁省铁岭市调兵山市
203.153.43	203.153.45	辽宁省铁岭市
203.153.46	203.153.46	辽宁省铁岭市调兵山市
203.153.47	203.153.49	辽宁省铁岭市
203.153.50	203.153.50	辽宁省铁岭市调兵山市
203.153.51	203.153.53	辽宁省铁岭市
203.153.54	203.153.54	辽宁省铁岭市调兵山市
203.153.55	203.153.57	辽宁省铁岭市
203.153.58	203.153.58	辽宁省铁岭市调兵山市
203.153.59	203.153.61	辽宁省铁岭市
203.153.62	203.153.62	辽宁省铁岭市调兵山市
203.153.63	203.153.65	辽宁省铁岭市
203.153.66	203.153.66	辽宁省铁岭市调兵山市
203.153.67	203.153.69	辽宁省铁岭市
203.153.70	203.153.70	辽宁省铁岭市调兵山市
203.153.71	203.153.113	辽宁省铁岭市
203.153.114	203.153.114	辽宁省铁岭市调兵山市
203.153.115	203.153.117	辽宁省铁岭市
203.153.118	203.153.118	辽宁省铁岭市调兵山市
203.153.119	203.153.121	辽宁省铁岭市
203.153.122	203.153.122	辽宁省铁岭市调兵山市
203.153.123	203.153.125	辽宁省铁岭市
203.153.126	203.153.126	辽宁省铁岭市调兵山市
203.153.127	203.153.129	辽宁省铁岭市
203.153.130	203.153.130	辽宁省铁岭市调兵山市
203.153.131	203.153.133	辽宁省铁岭市
203.153.134	203.153.134	辽宁省铁岭市调兵山市
203.153.135	203.153.135	辽宁省铁岭市
203.153.136	203.153.136	辽宁省铁岭市调兵山市
203.153.137	203.153.137	辽宁省铁岭市
203.153.138	203.153.138	辽宁省铁岭市调兵山市
203.153.139	203.153.141	辽宁省铁岭市
203.153.142	203.153.142	辽宁省铁岭市调兵山市
203.153.143	203.154.153	辽宁省铁岭市
203.154.154	203.154.154	辽宁省铁岭市调兵山市
203.154.155	203.161.97	辽宁省铁岭市
203.161.98	203.161.98	辽宁省铁岭市昌图县
203.161.99	203.161.105	辽宁省铁岭市
203.161.106	203.161.106	辽宁省铁岭市昌图县
203.161.107	203.161.121	辽宁省铁岭市
203.161.122	203.161.122	辽宁省铁岭市昌图县
203.161.123	203.161.125	辽宁省铁岭市
203.161.126	203.161.126	辽宁省铁岭市昌图县
203.161.127	203.161.129	辽宁省铁岭市
203.161.130	203.161.130	辽宁省铁岭市昌图县
203.161.131	203.161.141	辽宁省铁岭市
203.161.142	203.161.142	辽宁省铁岭市昌图县
203.161.143	203.161.161	辽宁省铁岭市
203.161.162	203.161.162	辽宁省铁岭市昌图县
203.161.163	203.161.169	辽宁省铁岭市
203.161.170	203.161.170	辽宁省铁岭市昌图县
203.161.171	203.161.173	辽宁省铁岭市
203.161.174	203.161.174	辽宁省铁岭市昌图县
203.161.175	203.161.193	辽宁省铁岭市
203.161.194	203.161.194	辽宁省铁岭市昌图县
203.161.195	203.161.197	辽宁省铁岭市
203.161.198	203.161.198	辽宁省铁岭市昌图县
203.161.199	203.161.201	辽宁省铁岭市
203.161.202	203.161.202	辽宁省铁岭市昌图县
203.161.203	203.161.205	辽宁省铁岭市
203.161.206	203.161.206	辽宁省铁岭市昌图县
203.161.207	203.161.*	辽宁省铁岭市
203.162.0	203.162.*	辽宁省铁岭市开原市
203.163.0	203.163.81	辽宁省铁岭市
203.163.82	203.163.82	辽宁省铁岭市调兵山市
203.163.83	203.163.85	辽宁省铁岭市
203.163.86	203.163.86	辽宁省铁岭市调兵山市
203.163.87	203.163.89	辽宁省铁岭市
203.163.90	203.163.90	辽宁省铁岭市调兵山市
203.163.91	203.163.109	辽宁省铁岭市
203.163.110	203.163.110	辽宁省铁岭市调兵山市
203.163.111	203.163.113	辽宁省铁岭市
203.163.114	203.163.114	辽宁省铁岭市调兵山市
203.163.115	203.163.121	辽宁省铁岭市
203.163.122	203.163.122	辽宁省铁岭市调兵山市
203.163.123	203.163.125	辽宁省铁岭市
203.163.126	203.163.126	辽宁省铁岭市调兵山市
203.163.127	203.163.129	辽宁省铁岭市
203.163.130	203.163.130	辽宁省铁岭市调兵山市
203.163.131	203.163.161	辽宁省铁岭市
203.163.162	203.163.162	辽宁省铁岭市开原市
203.163.163	203.163.181	辽宁省铁岭市
203.163.182	203.163.182	辽宁省铁岭市开原市
203.163.183	203.163.189	辽宁省铁岭市
203.163.190	203.163.190	辽宁省铁岭市调兵山市
203.163.191	203.163.197	辽宁省铁岭市
203.163.198	203.163.198	辽宁省铁岭市调兵山市
203.163.199	203.163.201	辽宁省铁岭市
203.163.202	203.163.202	辽宁省铁岭市调兵山市
203.163.203	203.163.209	辽宁省铁岭市
203.163.210	203.163.210	辽宁省铁岭市调兵山市
203.163.211	203.163.221	辽宁省铁岭市
203.163.222	203.163.222	辽宁省铁岭市调兵山市
203.163.223	203.163.225	辽宁省铁岭市
203.163.226	203.163.226	辽宁省铁岭市开原市
203.163.227	203.163.229	辽宁省铁岭市
203.163.230	203.163.230	辽宁省铁岭市开原市
203.163.231	203.163.237	辽宁省铁岭市
203.163.238	203.163.238	辽宁省铁岭市开原市
203.163.239	203.163.*	辽宁省铁岭市
203.164.0	203.166.9	辽宁省铁岭市调兵山市
203.166.10	203.166.10	辽宁省铁岭市
203.166.11	203.166.29	辽宁省铁岭市调兵山市
203.166.30	203.166.30	辽宁省铁岭市
203.166.31	203.166.41	辽宁省铁岭市调兵山市
203.166.42	203.166.42	辽宁省铁岭市
203.166.43	203.166.85	辽宁省铁岭市调兵山市
203.166.86	203.166.86	辽宁省铁岭市
203.166.87	203.166.89	辽宁省铁岭市调兵山市
203.166.90	203.166.90	辽宁省铁岭市
203.166.91	203.166.93	辽宁省铁岭市调兵山市
203.166.94	203.166.94	辽宁省铁岭市
203.166.95	203.166.97	辽宁省铁岭市调兵山市
203.166.98	203.166.98	辽宁省铁岭市
203.166.99	203.166.105	辽宁省铁岭市调兵山市
203.166.106	203.166.106	辽宁省铁岭市
203.166.107	203.166.113	辽宁省铁岭市调兵山市
203.166.114	203.166.114	辽宁省铁岭市
203.166.115	203.166.133	辽宁省铁岭市调兵山市
203.166.134	203.166.134	辽宁省铁岭市
203.166.135	203.166.137	辽宁省铁岭市调兵山市
203.166.138	203.166.138	辽宁省铁岭市
203.166.139	203.166.157	辽宁省铁岭市调兵山市
203.166.158	203.166.158	辽宁省铁岭市
203.166.159	203.166.197	辽宁省铁岭市调兵山市
203.166.198	203.166.198	辽宁省铁岭市
203.166.199	203.166.*	辽宁省铁岭市调兵山市
203.167.0	203.167.*	辽宁省铁岭市
203.168.0	203.168.19	辽宁省辽阳市
203.168.20	203.168.20	辽宁省辽阳市文圣区
203.168.21	203.169.72	辽宁省辽阳市
203.169.73	203.169.73	辽宁省辽阳市白塔区
203.169.74	203.169.108	辽宁省辽阳市
203.169.109	203.169.109	辽宁省辽阳市文圣区
203.169.110	203.169.110	辽宁省辽阳市
203.169.111	203.169.111	辽宁省辽阳市太子河区
203.169.112	203.169.112	辽宁省辽阳市
203.169.113	203.169.113	辽宁省辽阳市太子河区
203.169.114	203.169.117	辽宁省辽阳市
203.169.118	203.169.118	辽宁省辽阳市太子河区
203.169.119	203.169.122	辽宁省辽阳市
203.169.123	203.169.123	辽宁省辽阳市文圣区
203.169.124	203.169.124	辽宁省辽阳市太子河区
203.169.125	203.169.194	辽宁省辽阳市
203.169.195	203.169.195	辽宁省辽阳市宏伟区
203.169.196	203.169.197	辽宁省辽阳市
203.169.198	203.169.199	辽宁省辽阳市宏伟区
203.169.200	203.169.200	辽宁省辽阳市
203.169.201	203.169.201	辽宁省辽阳市宏伟区
203.169.202	203.169.203	辽宁省辽阳市
203.169.204	203.169.204	辽宁省辽阳市宏伟区
203.169.205	203.169.206	辽宁省辽阳市
203.169.207	203.169.208	辽宁省辽阳市宏伟区
203.169.209	203.169.214	辽宁省辽阳市
203.169.215	203.169.216	辽宁省辽阳市宏伟区
203.169.217	203.169.217	辽宁省辽阳市
203.169.218	203.169.218	辽宁省辽阳市宏伟区
203.169.219	203.169.220	辽宁省辽阳市
203.169.221	203.169.223	辽宁省辽阳市宏伟区
203.169.224	203.169.226	辽宁省辽阳市
203.169.227	203.169.227	辽宁省辽阳市宏伟区
203.169.228	203.169.229	辽宁省辽阳市
203.169.230	203.169.230	辽宁省辽阳市宏伟区
203.169.231	203.169.250	辽宁省辽阳市
203.169.251	203.169.251	辽宁省辽阳市宏伟区
203.169.252	203.171.31	辽宁省辽阳市
203.171.32	203.171.32	辽宁省辽阳市白塔区
203.171.33	203.171.51	辽宁省辽阳市
203.171.52	203.171.52	辽宁省本溪市桓仁县
203.171.53	203.171.60	辽宁省辽阳市
203.171.61	203.171.61	辽宁省辽阳市白塔区
203.171.62	203.171.72	辽宁省辽阳市
203.171.73	203.171.73	辽宁省辽阳市白塔区
203.171.74	203.171.142	辽宁省辽阳市
203.171.143	203.171.143	辽宁省辽阳市辽阳县
203.171.144	203.175.*	辽宁省辽阳市
203.176.0	203.181.*	辽宁省铁岭市
203.182.0	203.188.4	辽宁省辽阳市
203.188.5	203.188.6	辽宁省辽阳市辽阳县
203.188.7	203.188.12	辽宁省辽阳市
203.188.13	203.188.15	辽宁省辽阳市辽阳县
203.188.16	203.188.17	辽宁省辽阳市
203.188.18	203.188.18	辽宁省辽阳市辽阳县
203.188.19	203.188.20	辽宁省辽阳市
203.188.21	203.188.26	辽宁省辽阳市辽阳县
203.188.27	203.188.27	辽宁省辽阳市
203.188.28	203.188.28	辽宁省辽阳市辽阳县
203.188.29	203.188.30	辽宁省辽阳市
203.188.31	203.188.31	辽宁省辽阳市辽阳县
203.188.32	203.188.33	辽宁省辽阳市
203.188.34	203.188.34	辽宁省辽阳市辽阳县
203.188.35	203.188.38	辽宁省辽阳市
203.188.39	203.188.39	辽宁省辽阳市辽阳县
203.188.40	203.188.42	辽宁省辽阳市
203.188.43	203.188.43	辽宁省辽阳市辽阳县
203.188.44	203.188.44	辽宁省辽阳市
203.188.45	203.188.45	辽宁省辽阳市辽阳县
203.188.46	203.188.47	辽宁省辽阳市
203.188.48	203.188.48	辽宁省辽阳市辽阳县
203.188.49	203.188.52	辽宁省辽阳市
203.188.53	203.188.54	辽宁省辽阳市辽阳县
203.188.55	203.188.60	辽宁省辽阳市
203.188.61	203.188.62	辽宁省辽阳市辽阳县
203.188.63	203.188.89	辽宁省辽阳市
203.188.90	203.188.90	辽宁省辽阳市辽阳县
203.188.91	203.188.147	辽宁省辽阳市
203.188.148	203.188.148	辽宁省辽阳市灯塔市
203.188.149	203.188.149	辽宁省辽阳市
203.188.150	203.188.150	辽宁省辽阳市灯塔市
203.188.151	203.188.196	辽宁省辽阳市
203.188.197	203.188.197	辽宁省辽阳市灯塔市
203.188.198	203.189.233	辽宁省辽阳市
203.189.234	203.189.234	辽宁省辽阳市白塔区
203.189.235	203.191.*	辽宁省辽阳市
203.192.0	203.209.111	辽宁省本溪市
203.209.112	203.209.112	辽宁省本溪市桓仁县
203.209.113	203.211.1	辽宁省本溪市
203.211.2	203.211.2	辽宁省本溪市桓仁县
203.211.3	203.211.5	辽宁省本溪市
203.211.6	203.211.6	辽宁省本溪市桓仁县
203.211.7	203.211.9	辽宁省本溪市
203.211.10	203.211.10	辽宁省本溪市桓仁县
203.211.11	203.211.13	辽宁省本溪市
203.211.14	203.211.14	辽宁省本溪市桓仁县
203.211.15	203.214.201	辽宁省本溪市
203.214.202	203.214.202	辽宁省本溪市桓仁县
203.214.203	203.216.4	辽宁省本溪市
203.216.5	203.216.5	辽宁省本溪市本溪县
203.216.6	203.216.221	辽宁省本溪市
203.216.222	203.216.222	辽宁省本溪市本溪县
203.216.223	203.217.15	辽宁省本溪市
203.217.16	203.217.16	辽宁省本溪市本溪县
203.217.17	203.221.13	辽宁省本溪市
203.221.14	203.221.14	辽宁省桓仁市桓仁县
203.221.15	203.221.124	辽宁省本溪市
203.221.125	203.221.125	辽宁省本溪市本溪县
203.221.126	203.223.*	辽宁省本溪市
203.224.0	203.238.*	辽宁省阜新市
203.239.0	203.240.1	辽宁省铁岭市
203.240.2	203.240.2	辽宁省铁岭市调兵山市
203.240.3	203.240.5	辽宁省铁岭市
203.240.6	203.240.6	辽宁省铁岭市调兵山市
203.240.7	203.240.9	辽宁省铁岭市
203.240.10	203.240.10	辽宁省铁岭市调兵山市
203.240.11	203.240.17	辽宁省铁岭市
203.240.18	203.240.18	辽宁省铁岭市调兵山市
203.240.19	203.240.21	辽宁省铁岭市
203.240.22	203.240.22	辽宁省铁岭市调兵山市
203.240.23	203.240.25	辽宁省铁岭市
203.240.26	203.240.26	辽宁省铁岭市调兵山市
203.240.27	203.240.29	辽宁省铁岭市
203.240.30	203.240.30	辽宁省铁岭市调兵山市
203.240.31	203.240.33	辽宁省铁岭市
203.240.34	203.240.34	辽宁省铁岭市调兵山市
203.240.35	203.240.37	辽宁省铁岭市
203.240.38	203.240.38	辽宁省铁岭市调兵山市
203.240.39	203.240.41	辽宁省铁岭市
203.240.42	203.240.42	辽宁省铁岭市调兵山市
203.240.43	203.240.45	辽宁省铁岭市
203.240.46	203.240.46	辽宁省铁岭市调兵山市
203.240.47	203.240.49	辽宁省铁岭市
203.240.50	203.240.50	辽宁省铁岭市调兵山市
203.240.51	203.240.53	辽宁省铁岭市
203.240.54	203.240.54	辽宁省铁岭市调兵山市
203.240.55	203.240.57	辽宁省铁岭市
203.240.58	203.240.58	辽宁省铁岭市调兵山市
203.240.59	203.240.61	辽宁省铁岭市
203.240.62	203.240.62	辽宁省铁岭市调兵山市
203.240.63	203.240.65	辽宁省铁岭市
203.240.66	203.240.66	辽宁省铁岭市调兵山市
203.240.67	203.240.69	辽宁省铁岭市
203.240.70	203.240.70	辽宁省铁岭市调兵山市
203.240.71	203.240.73	辽宁省铁岭市
203.240.74	203.240.74	辽宁省铁岭市调兵山市
203.240.75	203.240.77	辽宁省铁岭市
203.240.78	203.240.78	辽宁省铁岭市调兵山市
203.240.79	203.240.81	辽宁省铁岭市
203.240.82	203.240.82	辽宁省铁岭市调兵山市
203.240.83	203.240.85	辽宁省铁岭市
203.240.86	203.240.86	辽宁省铁岭市调兵山市
203.240.87	203.240.89	辽宁省铁岭市
203.240.90	203.240.90	辽宁省铁岭市调兵山市
203.240.91	203.240.93	辽宁省铁岭市
203.240.94	203.240.94	辽宁省铁岭市调兵山市
203.240.95	203.240.97	辽宁省铁岭市
203.240.98	203.240.98	辽宁省铁岭市调兵山市
203.240.99	203.240.105	辽宁省铁岭市
203.240.106	203.240.106	辽宁省铁岭市调兵山市
203.240.107	203.240.109	辽宁省铁岭市
203.240.110	203.240.110	辽宁省铁岭市调兵山市
203.240.111	203.240.121	辽宁省铁岭市
203.240.122	203.240.122	辽宁省铁岭市调兵山市
203.240.123	203.240.125	辽宁省铁岭市
203.240.126	203.240.126	辽宁省铁岭市调兵山市
203.240.127	203.240.129	辽宁省铁岭市
203.240.130	203.240.130	辽宁省铁岭市调兵山市
203.240.131	203.240.133	辽宁省铁岭市
203.240.134	203.240.134	辽宁省铁岭市调兵山市
203.240.135	203.240.137	辽宁省铁岭市
203.240.138	203.240.138	辽宁省铁岭市调兵山市
203.240.139	203.240.141	辽宁省铁岭市
203.240.142	203.240.142	辽宁省铁岭市调兵山市
203.240.143	203.240.145	辽宁省铁岭市
203.240.146	203.240.146	辽宁省铁岭市调兵山市
203.240.147	203.240.149	辽宁省铁岭市
203.240.150	203.240.150	辽宁省铁岭市调兵山市
203.240.151	203.240.153	辽宁省铁岭市
203.240.154	203.240.154	辽宁省铁岭市调兵山市
203.240.155	203.240.157	辽宁省铁岭市
203.240.158	203.240.158	辽宁省铁岭市调兵山市
203.240.159	203.240.161	辽宁省铁岭市
203.240.162	203.240.162	辽宁省铁岭市调兵山市
203.240.163	203.240.165	辽宁省铁岭市
203.240.166	203.240.166	辽宁省铁岭市调兵山市
203.240.167	203.240.169	辽宁省铁岭市
203.240.170	203.240.170	辽宁省铁岭市调兵山市
203.240.171	203.240.173	辽宁省铁岭市
203.240.174	203.240.174	辽宁省铁岭市调兵山市
203.240.175	203.240.177	辽宁省铁岭市
203.240.178	203.240.178	辽宁省铁岭市调兵山市
203.240.179	203.240.181	辽宁省铁岭市
203.240.182	203.240.182	辽宁省铁岭市调兵山市
203.240.183	203.240.185	辽宁省铁岭市
203.240.186	203.240.186	辽宁省铁岭市调兵山市
203.240.187	203.240.189	辽宁省铁岭市
203.240.190	203.240.190	辽宁省铁岭市调兵山市
203.240.191	203.240.193	辽宁省铁岭市
203.240.194	203.240.194	辽宁省铁岭市调兵山市
203.240.195	203.240.197	辽宁省铁岭市
203.240.198	203.240.198	辽宁省铁岭市调兵山市
203.240.199	203.241.213	辽宁省铁岭市
203.241.214	203.241.214	辽宁省铁岭市开原市
203.241.215	203.*.*	辽宁省铁岭市
204.0.0	205.51.*	山西省太原市
205.52.0	205.52.*	山西省
205.53.0	205.53.112	山西省大同市
205.53.113	205.53.113	山西省忻州市
205.53.114	205.55.11	山西省大同市
205.55.12	205.55.12	山西省忻州市
205.55.13	205.55.212	山西省大同市
205.55.213	205.55.213	山西省忻州市
205.55.214	205.55.*	山西省大同市
205.56.0	205.96.*	山西省太原市
205.97.0	205.97.*	山西省晋中市
205.98.0	205.98.*	山西省太原市
205.99.0	205.99.*	山西省晋中市
205.100.0	205.107.*	山西省太原市
205.108.0	205.109.*	山西省
205.110.0	205.111.*	山西省阳泉市
205.112.0	205.115.*	山西省太原市
205.116.0	205.116.*	山西省阳泉市
205.117.0	205.119.*	山西省
205.120.0	205.176.*	山西省太原市
205.177.0	205.179.*	山西省运城市
205.180.0	205.186.17	山西省太原市
205.186.18	205.186.18	山西省原平市
205.186.19	205.187.*	山西省太原市
205.188.0	205.188.*	山西省忻州市
205.189.0	205.197.*	山西省太原市
205.198.0	205.199.*	山西省运城市
205.200.0	205.202.*	山西省太原市
205.203.0	205.204.*	山西省运城市
205.205.0	205.205.*	山西省太原市
205.206.0	205.207.*	山西省运城市
205.208.0	205.208.70	山西省侯马市
205.208.71	205.208.*	山西省忻州市
205.209.0	205.211.*	山西省太原市
205.212.0	205.212.*	山西省侯马市
205.213.0	205.217.150	山西省临汾市
205.217.151	205.217.151	山西省霍州市
205.217.152	205.217.*	山西省临汾市
205.218.0	205.218.*	山西省太原市
205.219.0	205.222.*	山西省临汾市
205.223.0	205.223.114	山西省太原市
205.223.115	205.223.115	山西省霍州市
205.223.116	205.231.177	山西省太原市
205.231.178	205.231.178	山西省忻州市
205.231.179	205.251.40	山西省太原市
205.251.41	205.251.41	山西省离石市
205.251.42	205.253.*	山西省太原市
205.254.0	205.*.*	山西省
206.0.0	206.5.51	黑龙江省牡丹江市
206.5.52	206.5.52	黑龙江省牡丹江市南岗区
206.5.53	206.7.198	黑龙江省牡丹江市
206.7.199	206.7.199	黑龙江省牡丹江市南岗区
206.7.200	206.14.*	黑龙江省牡丹江市
206.15.0	206.15.*	黑龙江省哈尔滨市
206.16.0	206.154.126	黑龙江省牡丹江市
206.154.127	206.154.127	黑龙江省绥芬河市
206.154.128	206.228.49	黑龙江省牡丹江市
206.228.50	206.228.50	黑龙江省海林市
206.228.51	206.228.101	黑龙江省牡丹江市
206.228.102	206.228.102	黑龙江省海林市
206.228.103	206.228.*	黑龙江省牡丹江市
206.229.0	206.236.*	黑龙江省海林市
206.237.0	206.*.*	黑龙江省牡丹江市
207.0.0	207.13.21	青海省西宁市
207.13.22	207.13.22	青海大学
207.13.23	207.13.52	青海省西宁市
207.13.53	207.13.53	青海大学
207.13.54	207.13.130	青海省西宁市
207.13.131	207.13.131	青海大学
207.13.132	207.13.132	青海省西宁市
207.13.133	207.13.133	青海大学
207.13.134	207.13.149	青海省西宁市
207.13.150	207.13.150	青海大学
207.13.151	207.56.*	青海省西宁市
207.57.0	207.63.*	青海省
207.64.0	207.115.69	黑龙江省佳木斯市
207.115.70	207.115.70	黑龙江省哈尔滨市
207.115.71	207.115.*	黑龙江省佳木斯市
207.116.0	207.122.*	黑龙江省哈尔滨市
207.123.0	207.127.*	黑龙江省
207.128.0	207.132.14	黑龙江省哈尔滨市
207.132.15	207.132.15	黑龙江省哈尔滨市依兰县
207.132.16	207.148.25	黑龙江省哈尔滨市
207.148.26	207.148.26	黑龙江省哈尔滨市呼兰区
207.148.27	207.148.61	黑龙江省哈尔滨市
