
0.0.0	0.7.*	澳大利亚
205.208.0	205.*.*	福建省莆田市
206.0.0	206.63.*	福建省漳州市
206.64.0	206.119.*	福建省龙岩市
206.120.0	206.127.*	福建省
206.128.0	206.191.*	福建省三明市
206.192.0	206.215.*	福建省
206.216.0	206.216.*	福建省南平市
206.217.0	206.*.*	福建省
207.0.0	207.11.203	福建省泉州市
207.11.204	207.11.204	福建省泉州市晋江市
207.11.205	207.28.*	福建省泉州市
207.29.0	207.29.*	福建省泉州市晋江市
207.30.0	207.127.*	福建省泉州市
207.128.0	207.191.*	福建省厦门市
207.192.0	207.*.*	福建省福州市
208.0.0	212.*.*	澳大利亚
213.0.0	213.1.*	山东省
213.2.0	213.2.*	山东省威海市
213.3.0	213.120.*	山东省
213.121.0	213.121.*	辽宁省大连市
213.122.0	213.*.*	山东省
214.0.0	214.*.*	澳大利亚
215.0.0	215.*.*	欧洲
216.0.0	222.*.*	澳大利亚
223.0.0	223.*.*	英国
224.0.0	224.79.*	江苏省苏州市
224.80.0	224.127.*	江苏省
224.128.0	224.220.*	江苏省无锡市
224.221.0	224.*.*	江苏省
225.0.0	225.35.*	江苏省南京市
225.36.0	225.127.*	江苏省
225.128.0	225.159.*	江苏省常州市
225.160.0	225.191.*	江苏省
225.192.0	225.232.*	江苏省徐州市
225.233.0	225.*.*	江苏省
226.0.0	226.23.*	江苏省扬州市
226.24.0	226.63.*	江苏省
226.64.0	226.90.*	江苏省南通市
226.91.0	226.127.*	江苏省
226.128.0	226.159.*	江苏省盐城市
226.160.0	226.191.*	江苏省
226.192.0	226.223.*	江苏省连云港市
226.224.0	226.233.*	江苏省淮安市
226.234.0	226.*.*	江苏省
227.0.0	228.*.*	江苏省苏州市
229.0.0	229.*.*	江苏省南京市
230.0.0	230.*.*	江苏省泰州市
231.0.0	231.*.*	江苏省常州市
232.0.0	232.127.*	江苏省南通市
232.128.0	232.145.*	江苏省镇江市
232.146.0	232.146.*	江苏省丹阳市
232.147.0	232.157.*	江苏省镇江市
232.158.0	232.158.*	江苏省丹阳市
232.159.0	232.163.*	江苏省镇江市
232.164.0	232.164.*	江苏省丹阳市
232.165.0	232.167.60	江苏省镇江市
232.167.61	232.167.61	江苏省常州市
232.167.62	232.208.*	江苏省镇江市
232.209.0	232.209.*	江苏省镇江市扬中市
232.210.0	232.212.*	江苏省镇江市
232.213.0	232.213.*	江苏省镇江市扬中市
232.214.0	232.217.*	江苏省镇江市
232.218.0	232.218.*	江苏省镇江市扬中市
232.219.0	232.*.*	江苏省镇江市
233.0.0	233.127.*	江苏省徐州市
233.128.0	233.*.*	江苏省扬州市
234.0.0	234.127.*	江苏省盐城市
234.128.0	234.191.*	江苏省南京市
234.192.0	234.223.*	江苏省淮安市
234.224.0	234.*.*	江苏省宿迁市
235.0.0	235.*.*	江苏省无锡市
236.0.0	236.*.*	江苏省苏州市
237.0.0	237.22.*	江苏省南京市
237.23.0	237.23.*	江苏省苏州市
237.24.0	237.104.*	江苏省南京市
237.105.0	237.105.*	江苏省镇江市
237.106.0	237.*.*	江苏省南京市
238.0.0	238.87.*	江苏省南通市
238.88.0	238.227.*	江苏省
238.228.0	238.*.*	江苏省镇江市
239.0.0	239.41.*	江苏省徐州市
239.42.0	239.191.*	江苏省
239.192.0	239.*.*	江苏省常州市
240.0.0	247.*.*	印度
248.0.0	248.31.*	江苏省南京市
248.32.0	248.39.*	江苏省徐州市
248.40.0	248.43.*	江苏省无锡市
248.44.0	248.63.*	江苏省南京市
248.64.0	248.71.*	江苏省镇江市
248.72.0	248.79.*	江苏省宿迁市
248.80.0	248.95.*	江苏省南通市
248.96.0	248.111.*	江苏省徐州市
248.112.0	249.*.*	中国
250.0.0	250.15.*	山东省济宁市
250.16.0	250.47.*	山东省济南市
250.48.0	250.49.*	山东省烟台市
250.50.0	250.50.*	山东省济南市
250.51.0	250.63.*	中国
250.64.0	250.79.*	山东省济南市
250.80.0	250.87.*	山东省淄博市
250.88.0	250.91.*	山东省德州市
250.92.0	250.93.*	山东省滨州市
250.94.0	250.95.*	中国
250.96.0	250.127.*	山东省临沂市
250.128.0	250.143.*	山东省聊城市
250.144.0	250.159.*	山东省潍坊市
250.160.0	250.191.*	山东省枣庄市
250.192.0	250.207.*	山东省烟台市
250.208.0	250.239.*	山东省济南市
250.240.0	250.*.*	山东省日照市
251.0.0	251.15.*	安徽省淮南市
251.16.0	251.29.*	安徽省合肥市
251.30.0	251.31.*	安徽省安庆市
251.32.0	251.35.*	安徽省淮南市
251.36.0	251.39.*	安徽省芜湖市
251.40.0	251.43.*	安徽省合肥市
251.44.0	251.47.*	安徽省淮北市
251.48.0	251.209.*	中国
251.210.0	251.210.*	山东省青岛市
251.211.0	251.240.*	中国
251.241.0	251.*.*	山东省青岛市
252.0.0	254.63.*	韩国
254.64.0	254.127.*	台湾省
254.128.0	254.*.*	韩国
*.0.0	*.42.254	安徽省
*.42.*	*.42.*	河北省邢台市
*.43.0	*.*.*	安徽省
