0.0.0.0	0.0.0.0	4l
94.140.192.0	94.140.*.*	俄罗斯
94.141.0.0	94.141.31.*	意大利
94.141.32.0	94.141.63.*	俄罗斯
94.141.64.0	94.141.95.*	乌兹别克斯坦
94.141.96.0	94.141.127.*	俄罗斯
94.141.128.0	94.141.159.*	波兰
94.141.160.0	94.141.191.*	俄罗斯
94.141.192.0	94.141.223.*	叙利亚
94.141.224.0	94.142.31.*	俄罗斯
94.142.32.0	94.142.63.*	约旦
94.142.64.0	94.142.95.*	英国
94.142.96.0	94.142.127.*	西班牙
94.142.128.0	94.142.135.*	拉脱维亚
94.142.136.0	94.142.143.*	俄罗斯
94.142.144.0	94.142.151.*	意大利
94.142.152.0	94.142.159.*	冰岛
94.142.160.0	94.142.167.*	奥地利
94.142.168.0	94.142.175.*	英国
94.142.176.0	94.142.183.*	意大利
94.142.184.0	94.142.191.*	英国
94.142.192.0	94.142.199.*	意大利
94.142.200.0	94.142.207.*	西班牙
94.142.208.0	94.142.215.*	荷兰
94.142.216.0	94.142.223.*	德国
94.142.224.0	94.142.231.*	瑞典
94.142.232.0	94.142.239.*	捷克
94.142.240.0	94.142.247.*	荷兰
94.142.248.0	94.143.7.*	瑞士
94.143.8.0	94.143.15.*	丹麦
94.143.16.0	94.143.23.*	比利时
94.143.24.0	94.143.31.*	西班牙
94.143.32.0	94.143.63.*	俄罗斯
94.143.64.0	94.143.71.*	挪威
94.143.72.0	94.143.79.*	瑞士
94.143.80.0	94.143.87.*	法国
94.143.88.0	94.143.95.*	瑞士
94.143.96.0	94.143.103.*	意大利
94.143.104.0	94.143.111.*	英国
94.143.112.0	94.143.119.*	法国
94.143.120.0	94.143.127.*	英国
94.143.128.0	94.143.135.*	俄罗斯
94.143.136.0	94.143.143.*	西班牙
94.143.144.0	94.143.151.*	俄罗斯
94.143.152.0	94.143.159.*	意大利
94.143.160.0	94.143.167.*	英国
94.143.168.0	94.143.175.*	捷克
94.143.176.0	94.143.183.*	希腊
94.143.184.0	94.143.191.*	比利时
94.143.192.0	94.143.199.*	吉尔吉斯斯坦
94.143.200.0	94.143.207.*	西班牙
94.143.208.0	94.143.215.*	荷兰
94.143.216.0	94.143.223.*	法国
94.143.224.0	94.143.231.*	沙特阿拉伯
94.143.232.0	94.143.239.*	捷克
94.143.240.0	94.143.247.*	俄罗斯
94.143.248.0	94.143.*.*	英国
94.144.0.0	94.151.*.*	丹麦
94.152.0.0	94.152.*.*	波兰
94.153.0.0	94.154.*.*	乌克兰
94.155.0.0	94.156.*.*	保加利亚
94.157.0.0	94.157.*.*	荷兰
94.158.0.0	94.158.15.*	俄罗斯
94.158.16.0	94.158.31.*	乌克兰
94.158.32.0	94.158.47.*	捷克
94.158.48.0	94.158.63.*	俄罗斯
94.158.64.0	94.158.95.*	乌克兰
94.158.96.0	94.158.127.*	俄罗斯
94.158.128.0	94.158.143.*	波兰
94.158.144.0	94.158.159.*	乌克兰
94.158.160.0	94.158.207.*	俄罗斯
94.158.208.0	94.158.223.*	捷克
94.158.224.0	94.158.239.*	波兰
94.158.240.0	94.158.*.*	乌克兰
94.159.0.0	94.159.127.*	俄罗斯
94.159.128.0	94.159.*.*	以色列
94.160.0.0	94.167.*.*	意大利
94.168.0.0	94.175.*.*	英国
94.176.0.0	94.177.*.*	罗马尼亚
94.178.0.0	94.179.*.*	乌克兰
94.180.0.0	94.181.*.*	俄罗斯
94.182.0.0	94.184.*.*	伊朗
94.185.0.0	94.185.127.*	俄罗斯
94.185.128.0	94.185.*.*	英国
94.186.0.0	94.186.127.*	挪威
94.186.128.0	94.186.*.*	德国
94.187.0.0	94.187.127.*	黎巴嫩
94.187.128.0	94.187.*.*	科威特
94.188.0.0	94.188.127.*	俄罗斯
94.188.128.0	94.188.*.*	以色列
94.189.0.0	94.189.127.*	丹麦
94.189.128.0	94.189.*.*	塞尔维亚
94.190.0.0	94.190.127.*	俄罗斯
94.190.128.0	94.190.*.*	保加利亚
94.191.0.0	94.191.127.*	俄罗斯
94.191.128.0	94.191.*.*	瑞典
94.192.0.0	94.197.*.*	英国
94.198.0.0	94.198.7.*	俄罗斯
94.198.8.0	94.198.15.*	英国
94.198.16.0	94.198.23.*	俄罗斯
94.198.24.0	94.198.31.*	荷兰
94.198.32.0	94.198.55.*	俄罗斯
94.198.56.0	94.198.63.*	德国
94.198.64.0	94.198.71.*	瑞典
94.198.72.0	94.198.79.*	意大利
94.198.80.0	94.198.87.*	英国
94.198.88.0	94.198.95.*	西班牙
94.198.96.0	94.198.103.*	意大利
94.198.104.0	94.198.111.*	俄罗斯
94.198.112.0	94.198.119.*	捷克
94.198.120.0	94.198.127.*	爱尔兰
94.198.128.0	94.198.135.*	俄罗斯
94.198.136.0	94.198.143.*	奥地利
94.198.144.0	94.198.151.*	法国
94.198.152.0	94.198.159.*	荷兰
94.198.160.0	94.198.167.*	比利时
94.198.168.0	94.198.175.*	英国
94.198.176.0	94.198.183.*	法国
94.198.184.0	94.198.191.*	英国
94.198.192.0	94.198.199.*	俄罗斯
94.198.200.0	94.198.207.*	法国
94.198.208.0	94.198.215.*	意大利
94.198.216.0	94.198.223.*	俄罗斯
94.198.224.0	94.198.231.*	捷克
94.198.232.0	94.198.239.*	俄罗斯
94.198.240.0	94.198.247.*	捷克
94.198.248.0	94.198.*.*	瑞士
94.199.0.0	94.199.7.*	俄罗斯
94.199.8.0	94.199.15.*	意大利
94.199.16.0	94.199.23.*	塔吉克斯坦
94.199.24.0	94.199.31.*	英国
94.199.32.0	94.199.39.*	土耳其
94.199.40.0	94.199.47.*	捷克
94.199.48.0	94.199.55.*	匈牙利
94.199.56.0	94.199.63.*	芬兰
94.199.64.0	94.199.79.*	俄罗斯
94.199.80.0	94.199.87.*	意大利
94.199.88.0	94.199.95.*	德国
94.199.96.0	94.199.103.*	瑞士
94.199.104.0	94.199.111.*	俄罗斯
94.199.112.0	94.199.119.*	芬兰
94.199.120.0	94.199.127.*	法国
94.199.128.0	94.199.135.*	英国
94.199.136.0	94.199.143.*	西班牙
94.199.144.0	94.199.151.*	英国
94.199.152.0	94.199.159.*	捷克
94.199.160.0	94.199.167.*	乌克兰
94.199.168.0	94.199.175.*	奥地利
94.199.176.0	94.199.183.*	匈牙利
94.199.184.0	94.199.191.*	英国
94.199.192.0	94.199.199.*	捷克
94.199.200.0	94.199.207.*	土耳其
94.199.208.0	94.199.223.*	俄罗斯
94.199.224.0	94.199.231.*	爱尔兰
94.199.232.0	94.199.239.*	英国
94.199.240.0	94.199.247.*	德国
94.199.248.0	94.199.*.*	欧洲
94.200.0.0	94.207.*.*	阿联酋
94.208.0.0	94.215.*.*	荷兰
94.216.0.0	94.223.*.*	德国
94.224.0.0	94.227.*.*	比利时
94.228.0.0	94.228.15.*	西班牙
94.228.16.0	94.228.31.*	亚美尼亚
94.228.32.0	94.228.47.*	英国
94.228.48.0	94.228.63.*	瑞士
94.228.64.0	94.228.79.*	英国
94.228.80.0	94.228.95.*	斯洛伐克
94.228.96.0	94.228.111.*	德国
94.228.112.0	94.228.127.*	俄罗斯
94.228.128.0	94.228.143.*	荷兰
94.228.144.0	94.228.159.*	瑞士
94.228.160.0	94.228.175.*	俄罗斯
94.228.176.0	94.228.191.*	法国
94.228.192.0	94.228.207.*	俄罗斯
94.228.208.0	94.228.223.*	荷兰
94.228.224.0	94.228.239.*	塞尔维亚
94.228.240.0	94.228.*.*	俄罗斯
94.229.0.0	94.229.15.*	塞浦路斯
94.229.16.0	94.229.31.*	俄罗斯
94.229.32.0	94.229.47.*	斯洛伐克
94.229.48.0	94.229.63.*	荷兰
94.229.64.0	94.229.79.*	英国
94.229.80.0	94.229.95.*	捷克
94.229.96.0	94.229.111.*	俄罗斯
94.229.112.0	94.229.127.*	塞尔维亚
94.229.128.0	94.229.143.*	英国
94.229.144.0	94.229.159.*	葡萄牙
94.229.160.0	94.229.175.*	英国
94.229.176.0	94.229.191.*	德国
94.229.192.0	94.229.207.*	西班牙
94.229.208.0	94.229.223.*	波兰
94.229.224.0	94.230.15.*	俄罗斯
94.230.16.0	94.230.31.*	波兰
94.230.32.0	94.230.47.*	俄罗斯
94.230.48.0	94.230.63.*	德国
94.230.64.0	94.230.79.*	意大利
94.230.80.0	94.230.95.*	以色列
94.230.96.0	94.230.111.*	爱尔兰
94.230.112.0	94.230.143.*	俄罗斯
94.230.144.0	94.230.159.*	捷克
94.230.160.0	94.230.175.*	俄罗斯
94.230.176.0	94.230.191.*	塞尔维亚
94.230.192.0	94.230.207.*	乌克兰
94.230.208.0	94.230.223.*	瑞士
94.230.224.0	94.230.239.*	乌兹别克斯坦
94.230.240.0	94.230.*.*	俄罗斯
94.231.0.0	94.231.15.*	波兰
94.231.16.0	94.231.31.*	俄罗斯
94.231.32.0	94.231.47.*	乌克兰
94.231.48.0	94.231.63.*	波兰
94.231.64.0	94.231.79.*	乌克兰
94.231.80.0	94.231.95.*	欧洲
94.231.96.0	94.231.111.*	丹麦
94.231.112.0	94.231.127.*	乌克兰
94.231.128.0	94.231.175.*	俄罗斯
94.231.176.0	94.231.223.*	捷克
94.231.224.0	94.231.239.*	波兰
94.231.240.0	94.231.*.*	荷兰
94.232.0.0	94.232.31.*	俄罗斯
94.232.32.0	94.232.39.*	波兰
94.232.40.0	94.232.47.*	乌克兰
94.232.48.0	94.232.55.*	俄罗斯
94.232.56.0	94.232.63.*	捷克
94.232.64.0	94.232.71.*	俄罗斯
94.232.72.0	94.232.79.*	乌克兰
94.232.80.0	94.232.87.*	希腊
94.232.88.0	94.232.95.*	俄罗斯
94.232.96.0	94.232.103.*	罗马尼亚
94.232.104.0	94.232.111.*	俄罗斯
94.232.112.0	94.232.119.*	荷兰
94.232.120.0	94.232.127.*	立陶宛
94.232.128.0	94.232.143.*	俄罗斯
94.232.144.0	94.232.159.*	波兰
94.232.160.0	94.232.167.*	荷兰
94.232.168.0	94.232.175.*	伊朗
94.232.176.0	94.232.183.*	乌克兰
94.232.184.0	94.232.191.*	俄罗斯
94.232.192.0	94.232.199.*	德国
94.232.200.0	94.232.207.*	捷克
94.232.208.0	94.232.215.*	乌克兰
94.232.216.0	94.232.223.*	波兰
94.232.224.0	94.232.231.*	立陶宛
94.232.232.0	94.232.239.*	俄罗斯
94.232.240.0	94.232.*.*	乌克兰
94.233.0.0	94.233.*.*	俄罗斯
94.234.0.0	94.234.*.*	瑞典
94.235.0.0	94.235.*.*	格鲁吉亚
94.236.0.0	94.236.127.*	英国
94.236.128.0	94.236.*.*	保加利亚
94.237.0.0	94.237.127.*	芬兰
94.237.128.0	94.237.*.*	俄罗斯
94.238.0.0	94.239.*.*	法国
94.240.0.0	94.240.63.*	波兰
94.240.64.0	94.240.127.*	俄罗斯
94.240.128.0	94.240.191.*	乌克兰
94.240.192.0	94.240.*.*	格鲁吉亚
94.241.0.0	94.241.63.*	俄罗斯
94.241.64.0	94.241.127.*	捷克
94.241.128.0	94.241.191.*	伊朗
94.241.192.0	94.242.63.*	俄罗斯
94.242.64.0	94.242.127.*	捷克
94.242.128.0	94.242.191.*	俄罗斯
94.242.192.0	94.242.*.*	卢森堡
94.243.0.0	94.243.63.*	俄罗斯
94.243.64.0	94.243.127.*	摩尔多瓦
94.243.128.0	94.243.*.*	俄罗斯
94.244.0.0	94.244.63.*	乌克兰
94.244.64.0	94.244.127.*	立陶宛
94.244.128.0	94.244.191.*	乌克兰
94.244.192.0	94.244.*.*	瑞士
94.245.0.0	94.245.63.*	瑞典
94.245.64.0	94.245.127.*	英国
94.245.128.0	94.245.191.*	俄罗斯
94.245.192.0	94.245.*.*	奥地利
94.246.0.0	94.246.63.*	挪威
94.246.64.0	94.246.127.*	瑞典
94.246.128.0	94.246.191.*	波兰
94.246.192.0	94.246.*.*	爱沙尼亚
94.247.0.0	94.247.7.*	荷兰
94.247.8.0	94.247.15.*	意大利
94.247.16.0	94.247.23.*	俄罗斯
94.247.24.0	94.247.31.*	法国
94.247.32.0	94.247.39.*	捷克
94.247.40.0	94.247.47.*	德国
94.247.48.0	94.247.55.*	爱尔兰
94.247.56.0	94.247.63.*	俄罗斯
94.247.64.0	94.247.71.*	哈萨克斯坦
94.247.72.0	94.247.79.*	荷兰
94.247.80.0	94.247.87.*	英国
94.247.88.0	94.247.95.*	匈牙利
94.247.96.0	94.247.103.*	英国
94.247.104.0	94.247.111.*	俄罗斯
94.247.112.0	94.247.119.*	德国
94.247.120.0	94.247.127.*	俄罗斯
94.247.128.0	94.247.135.*	哈萨克斯坦
94.247.136.0	94.247.143.*	爱沙尼亚
94.247.144.0	94.247.151.*	奥地利
94.247.152.0	94.247.159.*	英国
94.247.160.0	94.247.167.*	法国
94.247.168.0	94.247.175.*	瑞典
94.247.176.0	94.247.183.*	法国
94.247.184.0	94.247.191.*	意大利
94.247.192.0	94.247.199.*	荷兰
94.247.200.0	94.247.207.*	塞尔维亚
94.247.208.0	94.247.215.*	俄罗斯
94.247.216.0	94.247.223.*	瑞士
94.247.224.0	94.247.231.*	乌克兰
94.247.232.0	94.247.239.*	法国
94.247.240.0	94.247.*.*	俄罗斯
94.248.0.0	94.248.127.*	乌克兰
94.248.128.0	94.248.*.*	匈牙利
94.249.0.0	94.249.127.*	约旦
94.249.128.0	94.249.*.*	德国
94.250.0.0	94.250.127.*	波黑
94.250.128.0	94.251.127.*	俄罗斯
94.251.128.0	94.251.*.*	波兰
94.252.0.0	94.252.127.*	卢森堡
94.252.128.0	94.252.*.*	叙利亚
94.253.0.0	94.253.127.*	俄罗斯
94.253.128.0	94.253.*.*	克罗地亚
94.254.0.0	94.254.127.*	瑞典
94.254.128.0	94.254.*.*	波兰
94.*.0.0	94.*.127.*	俄罗斯
94.*.128.0	94.*.*.*	瑞典
95.0.0.0	95.15.*.*	土耳其
95.16.0.0	95.17.*.*	美国
95.18.0.0	95.23.*.*	西班牙
95.24.0.0	95.32.*.*	俄罗斯
95.33.0.0	95.33.*.*	德国
95.34.0.0	95.34.*.*	挪威
95.35.0.0	95.35.*.*	以色列
95.36.0.0	95.36.*.*	荷兰
95.37.0.0	95.37.*.*	俄罗斯
95.38.0.0	95.38.*.*	伊朗
95.39.0.0	95.39.*.*	西班牙
95.40.0.0	95.41.*.*	波兰
95.42.0.0	95.43.*.*	保加利亚
95.44.0.0	95.45.*.*	爱尔兰
95.46.0.0	95.47.*.*	捷克
95.48.0.0	95.51.*.*	波兰
95.52.0.0	95.55.*.*	俄罗斯
95.56.0.0	95.59.*.*	哈萨克斯坦
95.60.0.0	95.63.*.*	西班牙
95.64.0.0	95.64.127.*	罗马尼亚
95.64.128.0	95.64.*.*	俄罗斯
95.65.0.0	95.65.127.*	摩尔多瓦
95.65.128.0	95.65.*.*	土耳其
95.66.0.0	95.66.127.*	科威特
95.66.128.0	95.66.*.*	俄罗斯
95.67.0.0	95.67.127.*	乌克兰
95.67.128.0	95.67.*.*	俄罗斯
95.68.0.0	95.68.127.*	拉脱维亚
95.68.128.0	95.68.*.*	俄罗斯
95.69.0.0	95.69.127.*	葡萄牙
95.69.128.0	95.69.*.*	乌克兰
95.70.0.0	95.70.127.*	俄罗斯
95.70.128.0	95.70.*.*	土耳其
95.71.0.0	95.73.*.*	俄罗斯
95.74.0.0	95.75.*.*	意大利
95.76.0.0	95.77.*.*	罗马尼亚
95.78.0.0	95.79.*.*	俄罗斯
95.80.0.0	95.80.63.*	瑞典
95.80.64.0	95.80.127.*	俄罗斯
95.80.128.0	95.80.191.*	伊朗
95.80.192.0	95.80.*.*	捷克
95.81.0.0	95.81.63.*	乌克兰
95.81.64.0	95.81.127.*	伊朗
95.81.128.0	95.81.191.*	法国
95.81.192.0	95.81.*.*	俄罗斯
95.82.0.0	95.82.127.*	伊朗
95.82.128.0	95.82.191.*	捷克
95.82.192.0	95.83.191.*	俄罗斯
95.83.192.0	95.83.*.*	爱尔兰
95.84.0.0	95.84.63.*	俄罗斯
95.84.64.0	95.84.127.*	巴林
95.84.128.0	95.85.127.*	俄罗斯
95.85.128.0	95.85.191.*	塞尔维亚
95.85.192.0	95.85.*.*	捷克
95.86.0.0	95.86.63.*	马其顿
95.86.64.0	95.86.127.*	以色列
95.86.128.0	95.86.191.*	阿塞拜疆
95.86.192.0	95.86.*.*	俄罗斯
95.87.0.0	95.87.63.*	保加利亚
95.87.64.0	95.87.127.*	俄罗斯
95.87.128.0	95.87.191.*	斯洛文尼亚
95.87.192.0	95.87.*.*	保加利亚
95.88.0.0	95.91.*.*	德国
95.92.0.0	95.95.*.*	葡萄牙
95.96.0.0	95.99.*.*	荷兰
95.100.0.0	95.101.*.*	欧洲
95.102.0.0	95.103.*.*	斯洛伐克
95.104.0.0	95.104.127.*	格鲁吉亚
95.104.128.0	95.105.127.*	俄罗斯
95.105.128.0	95.105.*.*	斯洛伐克
95.106.0.0	95.107.127.*	俄罗斯
95.107.128.0	95.107.*.*	阿尔巴尼亚
95.108.0.0	95.108.127.*	波兰
95.108.128.0	95.108.*.*	俄罗斯
95.109.0.0	95.109.127.*	瑞典
95.109.128.0	95.109.*.*	乌克兰
95.110.0.0	95.110.127.*	俄罗斯
95.110.128.0	95.110.*.*	意大利
95.111.0.0	95.111.127.*	保加利亚
95.111.128.0	95.111.*.*	乌克兰
95.112.0.0	95.119.*.*	德国
95.120.0.0	95.127.*.*	西班牙
95.128.0.0	95.128.7.*	荷兰
95.128.8.0	95.128.15.*	英国
95.128.16.0	95.128.23.*	德国
95.128.24.0	95.128.31.*	丹麦
95.128.32.0	95.128.39.*	瑞士
95.128.40.0	95.128.47.*	法国
95.128.48.0	95.128.55.*	英国
95.128.56.0	95.128.63.*	土耳其
95.128.64.0	95.128.71.*	白俄罗斯
95.128.72.0	95.128.79.*	法国
95.128.80.0	95.128.87.*	瑞士
95.128.88.0	95.128.95.*	荷兰
95.128.96.0	95.128.103.*	比利时
95.128.104.0	95.128.111.*	挪威
95.128.112.0	95.128.119.*	瑞典
95.128.120.0	95.128.127.*	匈牙利
95.128.128.0	95.128.135.*	英国
95.128.136.0	95.128.143.*	俄罗斯
95.128.144.0	95.128.151.*	法国
95.128.152.0	95.128.159.*	西班牙
95.128.160.0	95.128.167.*	俄罗斯
95.128.168.0	95.128.175.*	罗马尼亚
95.128.176.0	95.128.183.*	俄罗斯
95.128.184.0	95.128.191.*	马其顿
95.128.192.0	95.128.199.*	爱尔兰
95.128.200.0	95.128.215.*	德国
95.128.216.0	95.128.223.*	英国
95.128.224.0	95.128.231.*	俄罗斯
95.128.232.0	95.128.239.*	克罗地亚
95.128.240.0	95.128.247.*	俄罗斯
95.128.248.0	95.128.*.*	德国
95.129.0.0	95.129.7.*	黎巴嫩
95.129.8.0	95.129.15.*	沙特阿拉伯
95.129.16.0	95.129.23.*	俄罗斯
95.129.24.0	95.129.31.*	荷兰
95.129.32.0	95.129.39.*	以色列
95.129.40.0	95.129.47.*	丹麦
95.129.48.0	95.129.55.*	德国
95.129.56.0	95.129.63.*	俄罗斯
95.129.64.0	95.129.71.*	英国
95.129.72.0	95.129.79.*	俄罗斯
95.129.80.0	95.129.87.*	荷兰
95.129.88.0	95.129.95.*	俄罗斯
95.129.96.0	95.129.103.*	捷克
95.129.104.0	95.129.111.*	英国
95.129.112.0	95.129.119.*	西班牙
95.129.120.0	95.129.135.*	荷兰
95.129.136.0	95.129.151.*	俄罗斯
95.129.152.0	95.129.159.*	西班牙
95.129.160.0	95.129.183.*	俄罗斯
95.129.184.0	95.129.191.*	英国
95.129.192.0	95.129.199.*	爱沙尼亚
95.129.200.0	95.129.207.*	奥地利
95.129.208.0	95.129.215.*	德国
95.129.216.0	95.129.223.*	西班牙
95.129.224.0	95.129.231.*	波兰
95.129.232.0	95.129.239.*	俄罗斯
95.129.240.0	95.129.247.*	捷克
95.129.248.0	95.129.*.*	俄罗斯
95.130.0.0	95.130.7.*	英国
95.130.8.0	95.130.15.*	法国
95.130.16.0	95.130.23.*	德国
95.130.24.0	95.130.31.*	芬兰
95.130.32.0	95.130.39.*	拉脱维亚
95.130.40.0	95.130.47.*	比利时
95.130.48.0	95.130.55.*	西班牙
95.130.56.0	95.130.63.*	伊朗
95.130.64.0	95.130.71.*	瑞典
95.130.72.0	95.130.79.*	英国
95.130.80.0	95.130.87.*	白俄罗斯
95.130.88.0	95.130.95.*	巴勒斯坦
95.130.96.0	95.130.111.*	英国
95.130.112.0	95.130.119.*	德国
95.130.120.0	95.130.127.*	奥地利
95.130.128.0	95.130.135.*	俄罗斯
95.130.136.0	95.130.143.*	意大利
95.130.144.0	95.130.151.*	英国
95.130.152.0	95.130.159.*	法国
95.130.160.0	95.130.167.*	德国
95.130.168.0	95.130.175.*	土耳其
95.130.176.0	95.130.183.*	俄罗斯
95.130.184.0	95.130.191.*	卢森堡
95.130.192.0	95.130.199.*	英国
95.130.200.0	95.130.207.*	德国
95.130.208.0	95.130.215.*	丹麦
95.130.216.0	95.130.223.*	挪威
95.130.224.0	95.130.231.*	英国
95.130.232.0	95.130.239.*	荷兰
95.130.240.0	95.130.247.*	伊朗
95.130.248.0	95.130.*.*	德国
95.131.0.0	95.131.15.*	俄罗斯
95.131.16.0	95.131.23.*	法国
95.131.24.0	95.131.31.*	俄罗斯
95.131.32.0	95.131.39.*	波兰
95.131.40.0	95.131.47.*	意大利
95.131.48.0	95.131.55.*	匈牙利
95.131.56.0	95.131.63.*	意大利
95.131.64.0	95.131.71.*	英国
95.131.72.0	95.131.79.*	俄罗斯
95.131.80.0	95.131.87.*	英国
95.131.88.0	95.131.95.*	俄罗斯
95.131.96.0	95.131.103.*	德国
95.131.104.0	95.131.111.*	英国
95.131.112.0	95.131.119.*	拉脱维亚
95.131.120.0	95.131.127.*	德国
95.131.128.0	95.131.135.*	斯洛伐克
95.131.136.0	95.131.143.*	法国
95.131.144.0	95.131.151.*	俄罗斯
95.131.152.0	95.131.159.*	英国
95.131.160.0	95.131.175.*	西班牙
95.131.176.0	95.131.183.*	俄罗斯
95.131.184.0	95.131.191.*	直布罗陀
95.131.192.0	95.131.199.*	奥地利
95.131.200.0	95.131.207.*	瑞典
95.131.208.0	95.131.215.*	俄罗斯
95.131.216.0	95.131.223.*	英国
95.131.224.0	95.131.231.*	俄罗斯
95.131.232.0	95.131.239.*	马耳他
95.131.240.0	95.131.247.*	法国
95.131.248.0	95.131.*.*	英国
95.132.0.0	95.135.*.*	乌克兰
95.136.0.0	95.136.127.*	葡萄牙
95.136.128.0	95.136.*.*	法国
95.137.0.0	95.137.127.*	俄罗斯
95.137.128.0	95.137.*.*	格鲁吉亚
95.138.0.0	95.138.127.*	法国
95.138.128.0	95.139.*.*	俄罗斯
95.140.0.0	95.140.15.*	法国
95.140.16.0	95.140.31.*	俄罗斯
95.140.32.0	95.140.47.*	匈牙利
95.140.48.0	95.140.63.*	英国
95.140.64.0	95.140.79.*	瑞典
95.140.80.0	95.140.95.*	俄罗斯
95.140.96.0	95.140.111.*	叙利亚
95.140.112.0	95.140.127.*	塞尔维亚
95.140.128.0	95.140.143.*	意大利
95.140.144.0	95.140.159.*	俄罗斯
95.140.160.0	95.140.175.*	约旦
95.140.176.0	95.140.191.*	瑞典
95.140.192.0	95.140.207.*	亚美尼亚
95.140.208.0	95.140.223.*	保加利亚
95.140.224.0	95.140.239.*	欧洲
95.140.240.0	95.140.*.*	捷克
95.141.0.0	95.141.15.*	俄罗斯
95.141.16.0	95.141.31.*	德国
95.141.32.0	95.141.47.*	意大利
95.141.48.0	95.141.63.*	黎巴嫩
95.141.64.0	95.141.95.*	挪威
95.141.96.0	95.141.127.*	法国
95.141.128.0	95.141.143.*	哈萨克斯坦
95.141.144.0	95.141.175.*	英国
95.141.176.0	95.141.207.*	俄罗斯
95.141.208.0	95.141.223.*	约旦
95.141.224.0	95.141.239.*	俄罗斯
95.141.240.0	95.141.*.*	科威特
95.142.0.0	95.142.15.*	西班牙
95.142.16.0	95.142.31.*	以色列
95.142.32.0	95.142.47.*	俄罗斯
95.142.48.0	95.142.63.*	荷兰
95.142.64.0	95.142.79.*	德国
95.142.80.0	95.142.95.*	塔吉克斯坦
95.142.96.0	95.142.111.*	荷兰
95.142.112.0	95.142.127.*	爱尔兰
95.142.128.0	95.142.143.*	土耳其
95.142.144.0	95.142.159.*	丹麦
95.142.160.0	95.142.175.*	法国
95.142.176.0	95.142.191.*	意大利
95.142.192.0	95.142.207.*	俄罗斯
95.142.208.0	95.142.223.*	意大利
95.142.224.0	95.142.239.*	伊朗
95.142.240.0	95.142.*.*	波兰
95.143.0.0	95.143.31.*	俄罗斯
95.143.32.0	95.143.47.*	德国
95.143.48.0	95.143.63.*	瑞士
95.143.64.0	95.143.79.*	法国
95.143.80.0	95.143.95.*	奥地利
95.143.96.0	95.143.111.*	意大利
95.143.112.0	95.143.127.*	俄罗斯
95.143.128.0	95.143.143.*	捷克
95.143.144.0	95.143.159.*	斯洛文尼亚
95.143.160.0	95.143.175.*	德国
95.143.176.0	95.143.191.*	俄罗斯
95.143.192.0	95.143.207.*	瑞典
95.143.208.0	95.143.223.*	俄罗斯
95.143.224.0	95.143.239.*	奥地利
95.143.240.0	95.143.*.*	波兰
95.144.0.0	95.151.*.*	英国
95.152.0.0	95.152.63.*	俄罗斯
95.152.64.0	95.152.127.*	瑞士
95.152.128.0	95.152.191.*	荷兰
95.152.192.0	95.152.*.*	英国
95.153.0.0	95.153.63.*	爱沙尼亚
95.153.64.0	95.153.127.*	摩尔多瓦
95.153.128.0	95.153.*.*	俄罗斯
95.154.0.0	95.154.63.*	丹麦
95.154.64.0	95.154.191.*	俄罗斯
95.154.192.0	95.154.*.*	英国
95.155.0.0	95.155.63.*	黑山
95.155.64.0	95.155.127.*	波兰
95.155.128.0	95.155.191.*	荷兰
95.155.192.0	95.155.*.*	瑞典
95.156.0.0	95.156.63.*	马其顿
95.156.64.0	95.156.127.*	俄罗斯
95.156.128.0	95.156.191.*	波黑
95.156.192.0	95.157.63.*	德国
95.157.64.0	95.157.127.*	罗马尼亚
95.157.128.0	95.157.*.*	法国
95.158.0.0	95.158.63.*	乌克兰
95.158.64.0	95.158.127.*	波兰
95.158.128.0	95.158.191.*	保加利亚
95.158.192.0	95.158.*.*	俄罗斯
95.159.0.0	95.159.63.*	叙利亚
95.159.64.0	95.159.127.*	伊拉克
95.159.128.0	95.159.191.*	俄罗斯
95.159.192.0	95.159.*.*	斯洛文尼亚
95.160.0.0	95.160.*.*	波兰
95.161.0.0	95.161.*.*	俄罗斯
95.162.0.0	95.162.*.*	罗马尼亚
95.163.0.0	95.163.*.*	俄罗斯
95.164.0.0	95.164.*.*	乌克兰
95.165.0.0	95.165.*.*	俄罗斯
95.166.0.0	95.166.*.*	丹麦
95.167.0.0	95.167.*.*	俄罗斯
95.168.0.0	95.168.31.*	法国
95.168.32.0	95.168.63.*	匈牙利
95.168.64.0	95.168.95.*	塞尔维亚
95.168.96.0	95.168.127.*	克罗地亚
95.168.128.0	95.168.191.*	德国
95.168.192.0	95.168.223.*	捷克
95.168.224.0	95.168.*.*	保加利亚
95.169.0.0	95.169.31.*	乌克兰
95.169.32.0	95.169.63.*	挪威
95.169.64.0	95.169.95.*	意大利
95.169.96.0	95.169.159.*	俄罗斯
95.169.160.0	95.169.191.*	德国
95.169.192.0	95.169.223.*	保加利亚
95.169.224.0	95.169.*.*	西班牙
95.170.0.0	95.170.63.*	法国
95.170.64.0	95.170.95.*	荷兰
95.170.96.0	95.170.191.*	俄罗斯
95.170.192.0	95.170.223.*	伊拉克
95.170.224.0	95.170.*.*	斯洛伐克
95.171.0.0	95.171.31.*	俄罗斯
95.171.32.0	95.171.63.*	意大利
95.171.64.0	95.171.95.*	匈牙利
95.171.96.0	95.171.127.*	波兰
95.171.128.0	95.171.159.*	法国
95.171.160.0	95.171.191.*	比利时
