
0.0.0	31.*.*	韩国
44.118.83	44.118.85	辽宁省大连市
44.118.86	44.118.86	辽宁省大连市沙河口区
44.118.87	44.118.89	辽宁省大连市
44.118.90	44.118.90	辽宁省大连市甘井子区
44.118.91	44.118.93	辽宁省大连市
44.118.94	44.118.94	辽宁省大连市甘井子区
44.118.95	44.118.97	辽宁省大连市
44.118.98	44.118.98	辽宁省大连市沙河口区
44.118.99	44.118.105	辽宁省大连市
44.118.106	44.118.106	辽宁省大连市甘井子区
44.118.107	44.118.109	辽宁省大连市
44.118.110	44.118.110	辽宁省大连市甘井子区
44.118.111	44.120.1	辽宁省大连市
44.120.2	44.120.2	辽宁省大连市甘井子区
44.120.3	44.120.5	辽宁省大连市
44.120.6	44.120.6	辽宁省大连市西岗区
44.120.7	44.120.13	辽宁省大连市
44.120.14	44.120.14	辽宁省大连市沙河口区
44.120.15	44.120.33	辽宁省大连市
44.120.34	44.120.34	辽宁省大连市沙河口区
44.120.35	44.120.53	辽宁省大连市
44.120.54	44.120.54	辽宁省大连市沙河口区
44.120.55	44.120.57	辽宁省大连市
44.120.58	44.120.58	辽宁省大连市沙河口区
44.120.59	44.120.61	辽宁省大连市
44.120.62	44.120.62	辽宁省大连市沙河口区
44.120.63	44.120.65	辽宁省大连市
44.120.66	44.120.66	辽宁省大连市甘井子区
44.120.67	44.120.73	辽宁省大连市
44.120.74	44.120.74	辽宁省大连市沙河口区
44.120.75	44.120.129	辽宁省大连市
44.120.130	44.120.130	辽宁省大连市普兰店市
44.120.131	44.120.157	辽宁省大连市
44.120.158	44.120.158	辽宁省大连市中山区
44.120.159	44.120.161	辽宁省大连市
44.120.162	44.120.162	辽宁省大连市沙河口区
44.120.163	44.120.169	辽宁省大连市
44.120.170	44.120.170	辽宁省大连市沙河口区
44.120.171	44.120.173	辽宁省大连市
44.120.174	44.120.174	辽宁省大连市沙河口区
44.120.175	44.120.185	辽宁省大连市
44.120.186	44.120.186	辽宁省大连市沙河口区
44.120.187	44.120.189	辽宁省大连市
44.120.190	44.120.190	辽宁省大连市沙河口区
44.120.191	44.120.193	辽宁省大连市
44.120.194	44.120.194	辽宁省大连市甘井子区
44.120.195	44.120.201	辽宁省大连市
44.120.202	44.120.202	辽宁省大连市沙河口区
44.120.203	44.120.225	辽宁省大连市
44.120.226	44.120.226	辽宁省大连市甘井子区
44.120.227	44.120.229	辽宁省大连市
44.120.230	44.120.230	辽宁省大连市甘井子区
44.120.231	44.120.233	辽宁省大连市
44.120.234	44.120.234	辽宁省大连市甘井子区
44.120.235	44.120.237	辽宁省大连市
44.120.238	44.120.238	辽宁省大连市甘井子区
44.120.239	44.120.241	辽宁省大连市
44.120.242	44.120.242	辽宁省大连市沙河口区
44.120.243	44.120.245	辽宁省大连市
44.120.246	44.120.246	辽宁省大连市沙河口区
44.120.247	44.120.253	辽宁省大连市
44.120.254	44.120.254	辽宁省大连市沙河口区
44.120.*	44.121.1	辽宁省大连市
44.121.2	44.121.2	辽宁省大连市甘井子区
44.121.3	44.121.9	辽宁省大连市
44.121.10	44.121.10	辽宁省大连市沙河口区
44.121.11	44.121.17	辽宁省大连市
44.121.18	44.121.18	辽宁省大连市沙河口区
44.121.19	44.121.25	辽宁省大连市
44.121.26	44.121.26	辽宁省大连市甘井子区
44.121.27	44.121.29	辽宁省大连市
44.121.30	44.121.30	辽宁省大连市沙河口区
44.121.31	44.121.37	辽宁省大连市
44.121.38	44.121.38	辽宁省大连市沙河口区
44.121.39	44.121.41	辽宁省大连市
44.121.42	44.121.42	辽宁省大连市沙河口区
44.121.43	44.121.49	辽宁省大连市
44.121.50	44.121.50	辽宁省大连市西岗区
44.121.51	44.121.53	辽宁省大连市
44.121.54	44.121.54	辽宁省大连市沙河口区
44.121.55	44.121.57	辽宁省大连市
44.121.58	44.121.58	辽宁省大连市沙河口区
44.121.59	44.121.61	辽宁省大连市
44.121.62	44.121.62	辽宁省大连市沙河口区
44.121.63	44.121.69	辽宁省大连市
44.121.70	44.121.70	辽宁省大连市甘井子区
44.121.71	44.121.73	辽宁省大连市
44.121.74	44.121.74	辽宁省大连市甘井子区
44.121.75	44.121.77	辽宁省大连市
44.121.78	44.121.78	辽宁省大连市甘井子区
44.121.79	44.121.97	辽宁省大连市
44.121.98	44.121.98	辽宁省大连市甘井子区
44.121.99	44.121.105	辽宁省大连市
44.121.106	44.121.106	辽宁省大连市甘井子区
44.121.107	44.121.109	辽宁省大连市
44.121.110	44.121.110	辽宁省大连市沙河口区
44.121.111	44.121.117	辽宁省大连市
44.121.118	44.121.118	辽宁省大连市沙河口区
44.121.119	44.121.120	辽宁省大连市
44.121.121	44.121.121	辽宁省大连市沙河口区
44.121.122	44.121.125	辽宁省大连市
44.121.126	44.121.126	辽宁省大连市甘井子区
44.121.127	44.121.133	辽宁省大连市
44.121.134	44.121.134	辽宁省大连市甘井子区
44.121.135	44.121.177	辽宁省大连市
44.121.178	44.121.178	辽宁省大连市甘井子区
44.121.179	44.122.101	辽宁省大连市
44.122.102	44.122.102	辽宁省大连市普兰店市
44.122.103	44.126.*	辽宁省大连市
44.127.0	44.133.140	辽宁省鞍山市
44.133.141	44.133.141	辽宁省大连市甘井子区
44.133.142	44.133.195	辽宁省鞍山市
44.133.196	44.133.196	辽宁省鞍山市立山区
44.133.197	44.141.1	辽宁省鞍山市
44.141.2	44.141.2	辽宁省鞍山市铁西区
44.141.3	44.141.5	辽宁省鞍山市
44.141.6	44.141.6	辽宁省鞍山市铁西区
44.141.7	44.141.9	辽宁省鞍山市
44.141.10	44.141.10	辽宁省鞍山市千山区
44.141.11	44.141.17	辽宁省鞍山市
44.141.18	44.141.18	辽宁省鞍山市铁西区
44.141.19	44.141.33	辽宁省鞍山市
44.141.34	44.141.34	辽宁省鞍山市铁西区
44.141.35	44.141.37	辽宁省鞍山市
44.141.38	44.141.38	辽宁省鞍山市铁西区
44.141.39	44.141.41	辽宁省鞍山市
44.141.42	44.141.42	辽宁省鞍山市铁西区
44.141.43	44.141.45	辽宁省鞍山市
44.141.46	44.141.46	辽宁省鞍山市铁西区
44.141.47	44.141.65	辽宁省鞍山市
44.141.66	44.141.66	辽宁省鞍山市铁西区
44.141.67	44.141.73	辽宁省鞍山市
44.141.74	44.141.74	辽宁省鞍山市铁西区
44.141.75	44.142.5	辽宁省鞍山市
44.142.6	44.142.6	辽宁省鞍山市铁西区
44.142.7	44.142.9	辽宁省鞍山市
44.142.10	44.142.10	辽宁省鞍山市铁西区
44.142.11	44.142.17	辽宁省鞍山市
44.142.18	44.142.18	辽宁省鞍山市铁西区
44.142.19	44.142.21	辽宁省鞍山市
44.142.22	44.142.22	辽宁省鞍山市铁西区
44.142.23	44.142.29	辽宁省鞍山市
44.142.30	44.142.30	辽宁省鞍山市铁西区
44.142.31	44.142.37	辽宁省鞍山市
44.142.38	44.142.38	辽宁省鞍山市铁西区
44.142.39	44.142.41	辽宁省鞍山市
44.142.42	44.142.42	辽宁省鞍山市铁西区
44.142.43	44.142.57	辽宁省鞍山市
44.142.58	44.142.58	辽宁省鞍山市铁西区
44.142.59	44.142.65	辽宁省鞍山市
44.142.66	44.142.66	辽宁省鞍山市铁西区
44.142.67	44.142.69	辽宁省鞍山市
44.142.70	44.142.70	辽宁省鞍山市铁东区
44.142.71	44.142.101	辽宁省鞍山市
44.142.102	44.142.102	辽宁省鞍山市铁东区
44.142.103	44.142.109	辽宁省鞍山市
44.142.110	44.142.110	辽宁省鞍山市铁东区
44.142.111	44.142.117	辽宁省鞍山市
44.142.118	44.142.118	辽宁省鞍山市铁东区
44.142.119	44.142.157	辽宁省鞍山市
44.142.158	44.142.158	辽宁省鞍山市铁东区
44.142.159	44.142.161	辽宁省鞍山市
44.142.162	44.142.162	辽宁省鞍山市铁西区
44.142.163	44.142.193	辽宁省鞍山市
44.142.194	44.142.194	辽宁省鞍山市铁西区
44.142.195	44.142.205	辽宁省鞍山市
44.142.206	44.142.206	辽宁省鞍山市铁东区
44.142.207	44.142.213	辽宁省鞍山市
44.142.214	44.142.214	辽宁省鞍山市铁东区
44.142.215	44.142.218	辽宁省鞍山市
44.142.219	44.142.219	辽宁省鞍山市铁东区
44.142.220	44.142.225	辽宁省鞍山市
44.142.226	44.142.226	辽宁省鞍山市铁东区
44.142.227	44.143.1	辽宁省鞍山市
44.143.2	44.143.2	辽宁省鞍山市铁东区
44.143.3	44.143.17	辽宁省鞍山市
44.143.18	44.143.18	辽宁省鞍山市铁西区
44.143.19	44.143.29	辽宁省鞍山市
44.143.30	44.143.30	辽宁省鞍山市铁西区
44.143.31	44.143.33	辽宁省鞍山市
44.143.34	44.143.34	辽宁省鞍山市铁西区
44.143.35	44.143.37	辽宁省鞍山市
44.143.38	44.143.38	辽宁省鞍山市铁西区
44.143.39	44.143.41	辽宁省鞍山市
44.143.42	44.143.42	辽宁省鞍山市铁东区
44.143.43	44.143.53	辽宁省鞍山市
44.143.54	44.143.54	辽宁省鞍山市铁东区
44.143.55	44.143.57	辽宁省鞍山市
44.143.58	44.143.58	辽宁省鞍山市铁西区
44.143.59	44.143.73	辽宁省鞍山市
44.143.74	44.143.74	辽宁省鞍山市铁西区
44.143.75	44.143.77	辽宁省鞍山市
44.143.78	44.143.78	辽宁省鞍山市铁西区
44.143.79	44.143.85	辽宁省鞍山市
44.143.86	44.143.86	辽宁省鞍山市铁西区
44.143.87	44.143.89	辽宁省鞍山市
44.143.90	44.143.90	辽宁省鞍山市铁西区
44.143.91	44.143.93	辽宁省鞍山市
44.143.94	44.143.94	辽宁省鞍山市千山区
44.143.95	44.143.97	辽宁省鞍山市
44.143.98	44.143.98	辽宁省鞍山市铁东区
44.143.99	44.143.101	辽宁省鞍山市
44.143.102	44.143.102	辽宁省鞍山市铁西区
44.143.103	44.143.105	辽宁省鞍山市
44.143.106	44.143.106	辽宁省鞍山市铁西区
44.143.107	44.143.117	辽宁省鞍山市
44.143.118	44.143.118	辽宁省鞍山市铁西区
44.143.119	44.143.121	辽宁省鞍山市
44.143.122	44.143.122	辽宁省鞍山市铁西区
44.143.123	44.143.125	辽宁省鞍山市
44.143.126	44.143.126	辽宁省鞍山市铁西区
44.143.127	44.143.129	辽宁省鞍山市
44.143.130	44.143.130	辽宁省鞍山市铁西区
44.143.131	44.143.133	辽宁省鞍山市
44.143.134	44.143.134	辽宁省鞍山市铁西区
44.143.135	44.143.137	辽宁省鞍山市
44.143.138	44.143.138	辽宁省鞍山市铁西区
44.143.139	44.143.165	辽宁省鞍山市
44.143.166	44.143.166	辽宁省鞍山市铁西区
44.143.167	44.154.1	辽宁省鞍山市
44.154.2	44.154.2	辽宁省鞍山市立山区
44.154.3	44.154.5	辽宁省鞍山市
44.154.6	44.154.6	辽宁省鞍山市立山区
44.154.7	44.154.9	辽宁省鞍山市
44.154.10	44.154.10	辽宁省鞍山市立山区
44.154.11	44.154.13	辽宁省鞍山市
44.154.14	44.154.14	辽宁省鞍山市立山区
44.154.15	44.154.25	辽宁省鞍山市
44.154.26	44.154.26	辽宁省鞍山市立山区
44.154.27	44.154.29	辽宁省鞍山市
44.154.30	44.154.30	辽宁省鞍山市立山区
44.154.31	44.154.33	辽宁省鞍山市
44.154.34	44.154.34	辽宁省鞍山市铁东区
44.154.35	44.154.41	辽宁省鞍山市
44.154.42	44.154.42	辽宁省鞍山市立山区
44.154.43	44.154.45	辽宁省鞍山市
44.154.46	44.154.46	辽宁省鞍山市立山区
44.154.47	44.154.49	辽宁省鞍山市
44.154.50	44.154.50	辽宁省鞍山市立山区
44.154.51	44.154.53	辽宁省鞍山市
44.154.54	44.154.54	辽宁省鞍山市立山区
44.154.55	44.154.61	辽宁省鞍山市
44.154.62	44.154.62	辽宁省鞍山市立山区
44.154.63	44.154.73	辽宁省鞍山市
44.154.74	44.154.74	辽宁省鞍山市立山区
44.154.75	44.154.77	辽宁省鞍山市
44.154.78	44.154.78	辽宁省鞍山市立山区
44.154.79	44.154.81	辽宁省鞍山市
44.154.82	44.154.82	辽宁省鞍山市立山区
44.154.83	44.154.101	辽宁省鞍山市
44.154.102	44.154.102	辽宁省鞍山市立山区
44.154.103	44.154.113	辽宁省鞍山市
44.154.114	44.154.114	辽宁省鞍山市立山区
44.154.115	44.154.125	辽宁省鞍山市
44.154.126	44.154.126	辽宁省鞍山市立山区
44.154.127	44.154.133	辽宁省鞍山市
44.154.134	44.154.134	辽宁省鞍山市立山区
44.154.135	44.154.161	辽宁省鞍山市
44.154.162	44.154.162	辽宁省鞍山市立山区
44.154.163	44.154.165	辽宁省鞍山市
44.154.166	44.154.166	辽宁省鞍山市立山区
44.154.167	44.154.169	辽宁省鞍山市
44.154.170	44.154.170	辽宁省鞍山市立山区
44.154.171	44.154.173	辽宁省鞍山市
44.154.174	44.154.174	辽宁省鞍山市立山区
44.154.175	44.154.177	辽宁省鞍山市
44.154.178	44.154.178	辽宁省鞍山市立山区
44.154.179	44.154.181	辽宁省鞍山市
44.154.182	44.154.182	辽宁省鞍山市立山区
44.154.183	44.154.193	辽宁省鞍山市
44.154.194	44.154.194	辽宁省鞍山市立山区
44.154.195	44.154.225	辽宁省鞍山市
44.154.226	44.154.226	辽宁省鞍山市立山区
44.154.227	44.154.229	辽宁省鞍山市
44.154.230	44.154.230	辽宁省鞍山市立山区
44.154.231	44.154.237	辽宁省鞍山市
44.154.238	44.154.238	辽宁省鞍山市铁东区
44.154.239	44.154.241	辽宁省鞍山市
44.154.242	44.154.242	辽宁省鞍山市铁东区
44.154.243	44.154.245	辽宁省鞍山市
44.154.246	44.154.246	辽宁省鞍山市立山区
44.154.247	44.154.249	辽宁省鞍山市
44.154.250	44.154.250	辽宁省鞍山市铁东区
44.154.251	44.154.253	辽宁省鞍山市
44.154.254	44.154.254	辽宁省鞍山市铁东区
44.154.*	44.155.45	辽宁省鞍山市
44.155.46	44.155.46	辽宁省鞍山市海城市
44.155.47	44.155.61	辽宁省鞍山市
44.155.62	44.155.62	辽宁省鞍山市海城市
44.155.63	44.155.89	辽宁省鞍山市
44.155.90	44.155.90	辽宁省鞍山市海城市
44.155.91	44.155.133	辽宁省鞍山市
44.155.134	44.155.134	辽宁省鞍山市海城市
44.155.135	44.155.169	辽宁省鞍山市
44.155.170	44.155.170	辽宁省鞍山市海城市
44.155.171	44.155.173	辽宁省鞍山市
44.155.174	44.155.174	辽宁省鞍山市海城市
44.155.175	44.155.177	辽宁省鞍山市
44.155.178	44.155.178	辽宁省鞍山市海城市
44.155.179	44.155.193	辽宁省鞍山市
44.155.194	44.155.194	辽宁省鞍山市岫岩满族自治县
44.155.195	44.155.197	辽宁省鞍山市
44.155.198	44.155.198	辽宁省鞍山市岫岩满族自治县
44.155.199	44.155.201	辽宁省鞍山市
44.155.202	44.155.202	辽宁省鞍山市岫岩满族自治县
44.155.203	44.155.225	辽宁省鞍山市
44.155.226	44.155.226	辽宁省鞍山市海城市
44.155.227	44.155.241	辽宁省鞍山市
44.155.242	44.155.242	辽宁省鞍山市海城市
44.155.243	44.155.245	辽宁省鞍山市
44.155.246	44.155.246	辽宁省鞍山市海城市
44.155.247	44.156.5	辽宁省鞍山市
44.156.6	44.156.6	辽宁省鞍山市千山区
44.156.7	44.156.9	辽宁省鞍山市
44.156.10	44.156.10	辽宁省鞍山市千山区
44.156.11	44.156.13	辽宁省鞍山市
44.156.14	44.156.14	辽宁省鞍山市千山区
44.156.15	44.156.17	辽宁省鞍山市
44.156.18	44.156.18	辽宁省鞍山市千山区
44.156.19	44.156.21	辽宁省鞍山市
44.156.22	44.156.22	辽宁省鞍山市千山区
44.156.23	44.156.45	辽宁省鞍山市
44.156.46	44.156.46	辽宁省鞍山市千山区
44.156.47	44.156.49	辽宁省鞍山市
44.156.50	44.156.50	辽宁省鞍山市千山区
44.156.51	44.156.53	辽宁省鞍山市
44.156.54	44.156.54	辽宁省鞍山市千山区
44.156.55	44.156.65	辽宁省鞍山市
44.156.66	44.156.66	辽宁省鞍山市千山区
44.156.67	44.156.77	辽宁省鞍山市
44.156.78	44.156.78	辽宁省鞍山市千山区
44.156.79	44.156.81	辽宁省鞍山市
44.156.82	44.156.82	辽宁省鞍山市台安县
44.156.83	44.156.85	辽宁省鞍山市
44.156.86	44.156.86	辽宁省鞍山市千山区
44.156.87	44.156.93	辽宁省鞍山市
44.156.94	44.156.94	辽宁省鞍山市千山区
44.156.95	44.156.97	辽宁省鞍山市
44.156.98	44.156.98	辽宁省鞍山市千山区
44.156.99	44.157.1	辽宁省鞍山市
44.157.2	44.157.2	辽宁省鞍山市铁东区
44.157.3	44.157.17	辽宁省鞍山市
44.157.18	44.157.18	辽宁省鞍山市铁东区
44.157.19	44.157.21	辽宁省鞍山市
44.157.22	44.157.22	辽宁省鞍山市铁东区
44.157.23	44.157.25	辽宁省鞍山市
44.157.26	44.157.26	辽宁省鞍山市铁东区
44.157.27	44.157.33	辽宁省鞍山市
44.157.34	44.157.34	辽宁省鞍山市千山区
44.157.35	44.157.41	辽宁省鞍山市
44.157.42	44.157.42	辽宁省鞍山市铁东区
44.157.43	44.157.49	辽宁省鞍山市
44.157.50	44.157.50	辽宁省鞍山市铁东区
44.157.51	44.157.53	辽宁省鞍山市
44.157.54	44.157.54	辽宁省鞍山市铁东区
44.157.55	44.157.69	辽宁省鞍山市
44.157.70	44.157.70	辽宁省鞍山市铁东区
44.157.71	44.157.73	辽宁省鞍山市
44.157.74	44.157.74	辽宁省鞍山市铁东区
44.157.75	44.157.85	辽宁省鞍山市
44.157.86	44.157.86	辽宁省鞍山市千山区
44.157.87	44.157.89	辽宁省鞍山市
44.157.90	44.157.90	辽宁省鞍山市铁东区
44.157.91	44.157.97	辽宁省鞍山市
44.157.98	44.157.98	辽宁省鞍山市千山区
44.157.99	44.157.101	辽宁省鞍山市
44.157.102	44.157.102	辽宁省鞍山市铁东区
44.157.103	44.157.121	辽宁省鞍山市
44.157.122	44.157.122	辽宁省鞍山市铁东区
44.157.123	44.157.129	辽宁省鞍山市
44.157.130	44.157.130	辽宁省鞍山市铁东区
44.157.131	44.157.133	辽宁省鞍山市
44.157.134	44.157.134	辽宁省鞍山市铁东区
44.157.135	44.157.141	辽宁省鞍山市
44.157.142	44.157.142	辽宁省鞍山市铁东区
44.157.143	44.157.153	辽宁省鞍山市
44.157.154	44.157.154	辽宁省鞍山市铁东区
44.157.155	44.158.9	辽宁省鞍山市
44.158.10	44.158.10	辽宁省鞍山市铁东区
44.158.11	44.158.33	辽宁省鞍山市
44.158.34	44.158.34	辽宁省鞍山市铁东区
44.158.35	44.158.57	辽宁省鞍山市
44.158.58	44.158.58	辽宁省鞍山市铁东区
44.158.59	44.158.73	辽宁省鞍山市
44.158.74	44.158.74	辽宁省鞍山市铁东区
44.158.75	44.158.77	辽宁省鞍山市
44.158.78	44.158.78	辽宁省鞍山市铁西区
44.158.79	44.158.181	辽宁省鞍山市
44.158.182	44.158.182	辽宁省鞍山市铁东区
44.158.183	44.158.196	辽宁省鞍山市
44.158.197	44.158.197	辽宁省鞍山市铁东区
44.158.198	44.158.200	辽宁省鞍山市千山区
44.158.201	44.158.201	辽宁省鞍山市铁东区
44.158.202	44.158.202	辽宁省鞍山市海城市
44.158.203	44.158.203	辽宁省鞍山市
44.158.204	44.158.204	辽宁省鞍山市铁东区
44.158.205	44.158.225	辽宁省鞍山市
44.158.226	44.158.226	辽宁省鞍山市铁东区
44.158.227	44.158.229	辽宁省鞍山市
44.158.230	44.158.230	辽宁省鞍山市铁东区
44.158.231	44.159.1	辽宁省鞍山市
44.159.2	44.159.2	辽宁省鞍山市铁东区
44.159.3	44.159.5	辽宁省鞍山市
44.159.6	44.159.6	辽宁省鞍山市铁东区
44.159.7	44.159.9	辽宁省鞍山市
44.159.10	44.159.10	辽宁省鞍山市铁东区
44.159.11	44.159.17	辽宁省鞍山市
44.159.18	44.159.18	辽宁省鞍山市铁西区
44.159.19	44.159.21	辽宁省鞍山市
44.159.22	44.159.22	辽宁省鞍山市铁东区
44.159.23	44.159.25	辽宁省鞍山市
44.159.26	44.159.26	辽宁省鞍山市铁东区
44.159.27	44.159.33	辽宁省鞍山市
44.159.34	44.159.34	辽宁省鞍山市千山区
44.159.35	44.159.37	辽宁省鞍山市
44.159.38	44.159.38	辽宁省鞍山市铁东区
44.159.39	44.159.45	辽宁省鞍山市
44.159.46	44.159.46	辽宁省鞍山市铁西区
44.159.47	44.159.49	辽宁省鞍山市
44.159.50	44.159.50	辽宁省鞍山市铁东区
44.159.51	44.159.53	辽宁省鞍山市
44.159.54	44.159.54	辽宁省鞍山市铁东区
44.159.55	44.159.57	辽宁省鞍山市
44.159.58	44.159.58	辽宁省鞍山市铁东区
44.159.59	44.159.61	辽宁省鞍山市
44.159.62	44.159.62	辽宁省鞍山市铁东区
44.159.63	44.159.65	辽宁省鞍山市
44.159.66	44.159.66	辽宁省鞍山市铁西区
44.159.67	44.159.85	辽宁省鞍山市
44.159.86	44.159.86	辽宁省鞍山市千山区
44.159.87	44.159.97	辽宁省鞍山市
44.159.98	44.159.98	辽宁省鞍山市铁东区
44.159.99	44.159.133	辽宁省鞍山市
44.159.134	44.159.134	辽宁省鞍山市铁东区
44.159.135	44.159.137	辽宁省鞍山市
44.159.138	44.159.138	辽宁省鞍山市铁东区
44.159.139	44.159.149	辽宁省鞍山市
44.159.150	44.159.150	辽宁省鞍山市铁东区
44.159.151	44.159.165	辽宁省鞍山市
44.159.166	44.159.166	辽宁省鞍山市铁西区
44.159.167	44.159.*	辽宁省鞍山市
44.160.0	44.174.33	辽宁省朝阳市
44.174.34	44.174.34	辽宁省大连市开发区
44.174.35	44.182.*	辽宁省朝阳市
44.183.0	44.190.21	辽宁省锦州市
44.190.22	44.190.22	辽宁省朝阳市
44.190.23	44.193.21	辽宁省锦州市
44.193.22	44.193.22	辽宁省大连市开发区
44.193.23	44.214.5	辽宁省锦州市
44.214.6	44.214.6	辽宁省锦州市凌海市
44.214.7	44.214.13	辽宁省锦州市
44.214.14	44.214.14	辽宁省锦州市凌海市
44.214.15	44.214.25	辽宁省锦州市
44.214.26	44.214.26	辽宁省锦州市凌海市
44.214.27	44.214.29	辽宁省锦州市
44.214.30	44.214.30	辽宁省锦州市凌海市
44.214.31	44.214.37	辽宁省锦州市
44.214.38	44.214.38	辽宁省锦州市凌海市
44.214.39	44.214.53	辽宁省锦州市
44.214.54	44.214.54	辽宁省锦州市凌海市
44.214.55	44.214.57	辽宁省锦州市
44.214.58	44.214.58	辽宁省锦州市凌海市
44.214.59	44.214.93	辽宁省锦州市
44.214.94	44.214.94	辽宁省锦州市凌海市
44.214.95	44.214.97	辽宁省锦州市
44.214.98	44.214.98	辽宁省锦州市凌海市
44.214.99	44.214.244	辽宁省锦州市
44.214.245	44.214.246	辽宁省锦州市北镇市
44.214.247	44.214.252	辽宁省锦州市
44.214.253	44.214.253	辽宁省锦州市北镇市
44.214.254	44.223.*	辽宁省锦州市
44.224.0	44.*.*	辽宁省铁岭市
45.0.0	45.0.142	辽宁省盘锦市
45.0.143	45.0.143	辽宁省盘锦市双台子区
45.0.144	45.1.150	辽宁省盘锦市
45.1.151	45.1.151	辽宁省盘锦市双台子区
45.1.152	45.12.*	辽宁省盘锦市
45.13.0	45.13.4	辽宁省沈阳市
45.13.5	45.13.5	辽宁省沈阳市皇姑区
45.13.6	45.13.10	辽宁省沈阳市
45.13.11	45.13.13	辽宁省盘锦市双台子区
45.13.14	45.13.26	辽宁省沈阳市
45.13.27	45.13.27	辽宁省盘锦市双台子区
45.13.28	45.13.30	辽宁省沈阳市
45.13.31	45.13.31	辽宁省盘锦市双台子区
45.13.32	45.13.105	辽宁省沈阳市
45.13.106	45.13.106	辽宁省盘锦市双台子区
45.13.107	45.13.237	辽宁省沈阳市
45.13.238	45.13.238	辽宁省盘锦市双台子区
45.13.239	45.13.241	辽宁省沈阳市
45.13.242	45.13.242	辽宁省盘锦市双台子区
45.13.243	45.13.*	辽宁省沈阳市
45.14.0	45.14.25	辽宁省盘锦市
45.14.26	45.14.26	辽宁省盘锦市双台子区
45.14.27	45.14.177	辽宁省盘锦市
45.14.178	45.14.178	辽宁省盘锦市双台子区
45.14.179	45.14.205	辽宁省盘锦市
45.14.206	45.14.206	辽宁省盘锦市双台子区
45.14.207	45.14.213	辽宁省盘锦市
45.14.214	45.14.214	辽宁省盘锦市双台子区
45.14.215	45.14.217	辽宁省盘锦市
45.14.218	45.14.218	辽宁省盘锦市双台子区
45.14.219	45.14.221	辽宁省盘锦市
45.14.222	45.14.222	辽宁省盘锦市双台子区
45.14.223	45.14.229	辽宁省盘锦市
45.14.230	45.14.230	辽宁省盘锦市双台子区
45.14.231	45.14.234	辽宁省盘锦市
45.14.235	45.14.235	辽宁省盘锦市双台子区
45.14.236	45.14.237	辽宁省盘锦市
45.14.238	45.14.238	辽宁省盘锦市双台子区
45.14.239	45.14.241	辽宁省盘锦市
45.14.242	45.14.242	辽宁省盘锦市双台子区
45.14.243	45.16.33	辽宁省盘锦市
45.16.34	45.16.34	辽宁省盘锦市大洼县
45.16.35	45.23.235	辽宁省盘锦市
45.23.236	45.23.236	辽宁省盘锦市双台子区
45.23.237	45.23.242	辽宁省盘锦市
45.23.243	45.23.243	辽宁省盘锦市兴隆台区
45.23.244	45.23.244	辽宁省盘锦市
45.23.245	45.23.245	辽宁省沈阳市
45.23.246	45.23.248	辽宁省盘锦市
45.23.249	45.23.249	辽宁省盘锦市兴隆台区
45.23.250	45.23.252	辽宁省盘锦市
45.23.253	45.23.253	辽宁省盘锦市兴隆台区
45.23.254	45.24.81	辽宁省盘锦市
45.24.82	45.24.82	辽宁省盘锦市大洼县
45.24.83	45.24.129	辽宁省盘锦市
45.24.130	45.24.130	辽宁省盘锦市大洼县
45.24.131	45.27.45	辽宁省盘锦市
45.27.46	45.27.46	辽宁省盘锦市兴隆台区
45.27.47	45.27.193	辽宁省盘锦市
45.27.194	45.27.194	辽宁省盘锦市大洼县
45.27.195	45.27.198	辽宁省盘锦市
45.27.199	45.27.199	辽宁省盘锦市兴隆台区
45.27.200	45.27.232	辽宁省盘锦市
45.27.233	45.27.233	辽宁省盘锦市兴隆台区
45.27.234	45.28.110	辽宁省盘锦市
45.28.111	45.28.111	辽宁省盘锦市兴隆台区
45.28.112	45.29.17	辽宁省盘锦市
45.29.18	45.29.18	辽宁省盘锦市兴隆台区
45.29.19	45.29.153	辽宁省盘锦市
45.29.154	45.29.154	辽宁省盘锦市兴隆台区
45.29.155	45.29.157	辽宁省盘锦市
45.29.158	45.29.158	辽宁省盘锦市兴隆台区
45.29.159	45.29.161	辽宁省盘锦市
45.29.162	45.29.162	辽宁省盘锦市兴隆台区
45.29.163	45.29.165	辽宁省盘锦市
45.29.166	45.29.166	辽宁省盘锦市兴隆台区
45.29.167	45.29.169	辽宁省盘锦市
45.29.170	45.29.170	辽宁省盘锦市兴隆台区
45.29.171	45.29.189	辽宁省盘锦市
45.29.190	45.29.190	辽宁省盘锦市兴隆台区
45.29.191	45.30.81	辽宁省盘锦市
45.30.82	45.30.82	辽宁省盘锦市兴隆台区
45.30.83	45.30.83	辽宁省盘锦市
45.30.84	45.30.84	辽宁省盘锦市兴隆台区
45.30.85	45.30.94	辽宁省盘锦市
45.30.95	45.30.95	辽宁省盘锦市兴隆台区
45.30.96	45.30.96	辽宁省盘锦市
45.30.97	45.30.97	辽宁省盘锦市兴隆台区
45.30.98	45.30.103	辽宁省盘锦市
45.30.104	45.30.104	辽宁省盘锦市兴隆台区
45.30.105	45.30.105	辽宁省盘锦市
45.30.106	45.30.106	辽宁省盘锦市兴隆台区
45.30.107	45.30.111	辽宁省盘锦市
45.30.112	45.30.113	辽宁省盘锦市兴隆台区
45.30.114	45.30.193	辽宁省盘锦市
45.30.194	45.30.194	辽宁省盘锦市大洼县
